"dgp","n","arm","trait","metric","n_seeds","mean","mcse","coverage","coverage_mcse"
"ou_mixed",300,"gnn_off_pure","c1","zRMSE",20,0.22229633345785,0.0175227113048117,0.979444444444444,0.00675742317982151
"bm_mixed",1000,"gnn_off_pure","c1","zRMSE",20,0.0835682591687281,0.00783191757610316,0.967,0.0063701607019306
"ou_mixed",1000,"gnn_off_pure","c1","zRMSE",20,0.119512106122169,0.00839142994423471,0.971166666666667,0.00445428369941271
"bm_mixed",100,"gnn_on","c1","zRMSE",20,0.348682907370912,0.0513533941091114,0.883333333333333,0.0262132505219016
"ou_mixed",100,"gnn_on","c1","zRMSE",20,0.532670296355086,0.04572468692576,0.878333333333333,0.0260762489678619
"bm_mixed",300,"gnn_on","c1","zRMSE",20,0.160949121623994,0.0150618210057991,0.961666666666667,0.0100833111819711
"ou_mixed",300,"gnn_on","c1","zRMSE",20,0.248777930387836,0.0168201555663038,0.967222222222222,0.0107386399773902
"bm_mixed",1000,"gnn_on","c1","zRMSE",20,0.0957029767450361,0.0091633921261603,0.953333333333333,0.00801679523550111
"ou_mixed",1000,"gnn_on","c1","zRMSE",20,0.137486011055163,0.00955262207212647,0.9585,0.00491729850236931
"bm_mixed",100,"gnn_on_full","c1","zRMSE",20,0.289596892444242,0.040730332235076,0.9,0.0247797313891676
"ou_mixed",100,"gnn_on_full","c1","zRMSE",20,0.454001346400355,0.0412038706571463,0.905,0.0211199581339298
"bm_mixed",300,"gnn_on_full","c1","zRMSE",20,0.140704145250226,0.0134952921715946,0.971666666666667,0.00931280811902234
"ou_mixed",300,"gnn_on_full","c1","zRMSE",20,0.22485699087187,0.0175336536979719,0.976111111111111,0.00961490477135282
"bm_mixed",1000,"gnn_on_full","c1","zRMSE",20,0.0836188696517743,0.00782897315427881,0.966,0.00682102014287259
"ou_mixed",1000,"gnn_on_full","c1","zRMSE",20,0.119579159080745,0.0083969860896494,0.971333333333333,0.00442216638714053
"bm_mixed",100,"rphylopars","c1","zRMSE",20,0.276612254223385,0.0381757112312327,NA,NA
"ou_mixed",100,"rphylopars","c1","zRMSE",20,0.467996118576503,0.0433447901474115,NA,NA
"bm_mixed",300,"rphylopars","c1","zRMSE",20,0.138555119942505,0.0127262909406903,NA,NA
"ou_mixed",300,"rphylopars","c1","zRMSE",20,0.224857143384261,0.0174959883010843,NA,NA
"bm_mixed",1000,"rphylopars","c1","zRMSE",20,0.0835162914488464,0.00779196942567219,NA,NA
"ou_mixed",1000,"rphylopars","c1","zRMSE",20,0.119850713987196,0.00834442865152557,NA,NA
"bm_mixed",100,"bace","c2","zRMSE",20,0.287580863430733,0.0377959683065724,NA,NA
"ou_mixed",100,"bace","c2","zRMSE",20,0.450778855491858,0.051919193852779,NA,NA
"bm_mixed",300,"bace","c2","zRMSE",20,0.162604096774843,0.0157774096180104,NA,NA
"ou_mixed",300,"bace","c2","zRMSE",20,0.270177414416378,0.0172528520037573,NA,NA
"bm_mixed",1000,"bace","c2","zRMSE",20,0.114039343172063,0.00863394228274849,NA,NA
"ou_mixed",1000,"bace","c2","zRMSE",20,0.153403226700688,0.0125469259372101,NA,NA
"bm_mixed",100,"floor","c2","zRMSE",20,1.0043891500327,0.0270128492332266,NA,NA
"ou_mixed",100,"floor","c2","zRMSE",20,0.99121143775688,0.0287886587338414,NA,NA
"bm_mixed",300,"floor","c2","zRMSE",20,0.986361208282492,0.0190069362970053,NA,NA
"ou_mixed",300,"floor","c2","zRMSE",20,1.0052878320201,0.0195930858898829,NA,NA
"bm_mixed",1000,"floor","c2","zRMSE",20,1.016049196324,0.0138382414414615,NA,NA
"ou_mixed",1000,"floor","c2","zRMSE",20,0.989231481459279,0.0106824077534931,NA,NA
"bm_mixed",100,"gnn_off","c2","zRMSE",20,0.257975328473853,0.0366715809591245,0.943333333333333,0.0169450436093855
"ou_mixed",100,"gnn_off","c2","zRMSE",20,0.395532489868809,0.0399513566783029,0.921666666666667,0.0215312909791324
"bm_mixed",300,"gnn_off","c2","zRMSE",20,0.146781324108942,0.0146646683166803,0.980555555555556,0.00482810431671142
"ou_mixed",300,"gnn_off","c2","zRMSE",20,0.228827771135815,0.0132894905388037,0.966666666666667,0.00725476250110012
"bm_mixed",1000,"gnn_off","c2","zRMSE",20,0.101616606940924,0.00828079621037543,0.960166666666667,0.00448828885457535
"ou_mixed",1000,"gnn_off","c2","zRMSE",20,0.134352564942275,0.0116909600980927,0.9715,0.00441604596763939
"bm_mixed",100,"gnn_off_pure","c2","zRMSE",20,0.24689424089335,0.033725776989723,0.96,0.0146299380627294
"ou_mixed",100,"gnn_off_pure","c2","zRMSE",20,0.376521441787435,0.0358790817021957,0.931666666666667,0.0184921352019578
"bm_mixed",300,"gnn_off_pure","c2","zRMSE",20,0.146781324108942,0.0146646683166803,0.980555555555556,0.00482810431671142
"ou_mixed",300,"gnn_off_pure","c2","zRMSE",20,0.22674931621679,0.0134705535655429,0.970555555555556,0.00675742317982151
"bm_mixed",1000,"gnn_off_pure","c2","zRMSE",20,0.101616606940924,0.00828079621037543,0.960166666666667,0.00448828885457535
"ou_mixed",1000,"gnn_off_pure","c2","zRMSE",20,0.134093075677781,0.0116697750458045,0.972,0.00445510417570389
"bm_mixed",100,"gnn_on","c2","zRMSE",20,0.307967564865687,0.0384008579497603,0.931666666666667,0.0155738196871905
"ou_mixed",100,"gnn_on","c2","zRMSE",20,0.45846879741027,0.0411381456340721,0.885,0.0262104617298812
"bm_mixed",300,"gnn_on","c2","zRMSE",20,0.172390374262052,0.0174667144174598,0.968333333333333,0.00577209572155932
"ou_mixed",300,"gnn_on","c2","zRMSE",20,0.253690777572798,0.0132729136415047,0.957222222222222,0.00850314317147911
