"missing_mechanism","family","n_species","phylo_lambda","miss_frac","n_rep","n_fail","mean_delta","mcse","mean_r_cal_gnn","frac_gate_open"
"covariate_MAR","F1",1000,0.5,0.1,30,0,-0.00157243777874285,0.00115981970191111,0.123967864923747,0.216666666666667
"covariate_MAR","F2",1000,0.5,0.1,30,0,-0.0255080244778201,0.00239057564477954,0.524338235294118,0.566666666666667
"covariate_MAR","F3",1000,0.5,0.1,30,0,0.00105103181915655,0.00176600371831367,0.0863109161793372,0.138888888888889
"covariate_MAR","F1",100,1,0.1,30,0,-0.00264519575233782,0.00475730624706444,0.261062255311481,0.391666666666667
"covariate_MAR","F2",100,1,0.1,30,0,-0.0398782162476045,0.00612975776705491,0.375015157378741,0.458333333333333
"covariate_MAR","F3",100,1,0.1,30,0,0.0243152790870801,0.0098680251623811,0.0750340584576911,0.116666666666667
"covariate_MAR","F1",300,1,0.1,30,0,-0.000602520717703634,0.00112644339782333,0.17078216374269,0.258333333333333
"covariate_MAR","F2",300,1,0.1,30,0,-0.0373579137526108,0.00429892041325684,0.482085769980507,0.583333333333333
"covariate_MAR","F3",300,1,0.1,30,0,0.00167361298734182,0.00360741694146173,0.102316585991122,0.161111111111111
"covariate_MAR","F1",1000,1,0.1,30,0,-0.000248323475206254,0.000273082780170976,0.0847587719298246,0.166666666666667
"covariate_MAR","F2",1000,1,0.1,30,0,-0.022547143181982,0.00225546476073005,0.445933235867446,0.566666666666667
"covariate_MAR","F3",1000,1,0.1,30,0,0.000216497414750693,0.0014844576441236,0.0356844589687727,0.0888888888888889
"covariate_MAR","F1",100,0.2,0.3,30,0,-6.24852642728774e-05,0.00388070982400816,0.182097630718954,0.225
"covariate_MAR","F2",100,0.2,0.3,30,0,-0.0192293115902702,0.00627043986815788,0.290263157894737,0.316666666666667
"covariate_MAR","F3",100,0.2,0.3,30,0,-0.00662857090786019,0.00968792567464638,0.0385416666666667,0.0444444444444444
"covariate_MAR","F1",300,0.2,0.3,30,0,0.00187338066120549,0.00271345375888877,0.337310049019608,0.375
"covariate_MAR","F2",300,0.2,0.3,30,0,-0.0466214283257185,0.00684550526442542,0.448749319172113,0.5
"covariate_MAR","F3",300,0.2,0.3,30,0,-0.0105751699165087,0.0058051841577257,0.0996296296296296,0.127777777777778
"covariate_MAR","F1",1000,0.2,0.3,30,0,-0.00185721925452464,0.00127743115950563,0.240250078832703,0.3
"covariate_MAR","F2",1000,0.2,0.3,30,0,-0.0292199884593092,0.00303570888257036,0.563232271541095,0.6
"covariate_MAR","F3",1000,0.2,0.3,30,0,-0.00504110983157943,0.00191567546470064,0.124306248327791,0.2
"covariate_MAR","F1",100,0.5,0.3,30,0,0.0133953978823798,0.00531089290364923,0.195257137942896,0.225
"covariate_MAR","F2",100,0.5,0.3,30,0,-0.0363602207612596,0.0119851999224287,0.37348913542025,0.441666666666667
