"merge_key","family","n_species","phylo_lambda","miss_frac","mean_delta_fixed1","mcse_fixed1","z_ratio_fixed1","rel_improve_fixed1","g4_explore_pass","mean_delta_bayes","mcse_bayes","z_ratio_bayes","rel_improve_bayes","gnn_res_pass","mean_r_cal_gnn","frac_gate_open","closed","retained","delta_attenuation"
"F2|100|0.5|0.5","F2",100,0.5,0.5,0.00437000514698434,0.00968861068094849,0.451045592695497,-0.00501751961259542,FALSE,0.00652734414787172,0.00879671558349607,0.742020596882543,-0.00753146600807139,FALSE,0.22471601005053,0.633333333333333,FALSE,FALSE,0.00215733900088738
"F2|1000|0.2|0.1","F2",1000,0.2,0.1,-0.0417063049446605,0.00319237643749224,13.0643443094144,0.0431839649658608,TRUE,-0.0439255663132227,0.00317825826351811,13.8206409521296,0.045464547912993,TRUE,0.61203947368421,1,FALSE,TRUE,-0.00221926136856222
"F2|1000|0.2|0.3","F2",1000,0.2,0.3,-0.0297093549334692,0.00331852144720873,8.95258789376163,0.0306732925968745,TRUE,-0.0310199432624038,0.00291324408080015,10.6479039867761,0.0319953098937629,TRUE,0.58931712962963,1,FALSE,TRUE,-0.00131058832893463
"F2|1000|0.2|0.5","F2",1000,0.2,0.5,-0.0168820482675398,0.00278728182350454,6.05681425006152,0.0173776875506499,FALSE,-0.0192552955401545,0.00302188754958349,6.37194310648935,0.0197895663778894,FALSE,0.460151540710751,0.9,FALSE,FALSE,-0.00237324727261471
"F2|1000|0.5|0.1","F2",1000,0.5,0.1,-0.0258027730410298,0.00211935761267995,12.1748084828411,0.0288301293472682,TRUE,-0.0271340569304353,0.00227560685748073,11.9238772906823,0.0302965665483867,TRUE,0.512234848484848,1,FALSE,TRUE,-0.00133128388940554
"F2|1000|0.5|0.3","F2",1000,0.5,0.3,-0.0133844132041086,0.0028294380735645,4.73041390414565,0.0151862241269167,FALSE,-0.0127220853238024,0.00294412212452172,4.3211812505465,0.014443054508375,FALSE,0.37272475589426,0.9,FALSE,FALSE,0.0006623278803062
"F2|1000|0.5|0.5","F2",1000,0.5,0.5,-0.00964715137494348,0.00184068339714733,5.24107045779547,0.0111009125179576,FALSE,-0.00880631947157043,0.00182902133082869,4.81477133324654,0.010109532468725,FALSE,0.35562048503612,0.9,FALSE,FALSE,0.00084083190337305
"F2|300|0.2|0.1","F2",300,0.2,0.1,-0.0615326293266957,0.00596880897395819,10.3090297570523,0.0633978220131551,TRUE,-0.0649345629064434,0.00589270876803742,11.0194760105326,0.0667174380535555,TRUE,0.629557226399332,0.966666666666667,FALSE,TRUE,-0.00340193357974766
"F2|300|0.2|0.3","F2",300,0.2,0.3,-0.0328857388589311,0.00498636509451869,6.59513257364189,0.0337707750158883,TRUE,-0.0381398718714876,0.00579519449289703,6.58129281393996,0.0390343695344673,TRUE,0.467072440087146,0.9,FALSE,TRUE,-0.00525413301255654
"F2|300|0.2|0.5","F2",300,0.2,0.5,-0.0141464860962103,0.00528237800376831,2.67805259035203,0.0147980975090334,FALSE,-0.0212317399427354,0.0052337870613242,4.05666865960793,0.0220866109644387,TRUE,0.362708333333333,0.833333333333333,FALSE,FALSE,-0.00708525384652508
"F2|300|0.5|0.1","F2",300,0.5,0.1,-0.0487634219039628,0.00443411115229313,10.9973386388261,0.0537958910430701,TRUE,-0.0546899863097508,0.00409129872737521,13.3673901501779,0.060053583086473,TRUE,0.615648148148148,1,FALSE,TRUE,-0.00592656440578797
"F2|300|0.5|0.3","F2",300,0.5,0.3,-0.0213262321672594,0.00595094778398111,3.58366985250077,0.0239582492698663,TRUE,-0.0258950448559798,0.00565984019897462,4.57522543846223,0.0290075743906853,TRUE,0.498080390613285,1,FALSE,TRUE,-0.00456881268872043
"F2|300|0.5|0.5","F2",300,0.5,0.5,-0.00944223021640889,0.00668791475114722,1.41183471496691,0.0106912479296343,FALSE,-0.0080558687896601,0.0047403861548995,1.69941193110056,0.00912261789813039,FALSE,0.302759431257883,0.766666666666667,FALSE,FALSE,0.00138636142674879
"F3|100|0.2|0.1","F3",100,0.2,0.1,0.000730517613075465,0.0106678725305913,0.0684782847733345,-0.000951594124444924,FALSE,-0.000883180160124001,0.0106830502237718,0.0826711605416546,0.00114564516834589,FALSE,0.119166666666667,0.566666666666667,FALSE,FALSE,-0.00161369777319947
"F3|100|0.2|0.3","F3",100,0.2,0.3,-0.0098791970476884,0.0124146062398761,0.795772081433892,0.0133217921961476,FALSE,-0.0126278817457213,0.0122045557122245,1.0346859028283,0.016979798692061,FALSE,0.055,0.266666666666667,FALSE,FALSE,-0.00274868469803286
"F3|100|0.2|0.5","F3",100,0.2,0.5,-0.0112970877363667,0.0165354706233523,0.683203278194714,0.0153587080506033,FALSE,-0.012866930624255,0.0163348108702157,0.787700006231238,0.0174040381473376,FALSE,0.0382352941176471,0.233333333333333,FALSE,FALSE,-0.00156984288788829
"F3|100|0.5|0.1","F3",100,0.5,0.1,0.0170360098192418,0.0111300689511258,1.53062931542025,-0.0236428424866185,FALSE,0.0233296692218643,0.0108550583108208,2.14919796410567,-0.0322413970419856,FALSE,0.115092592592593,0.666666666666667,FALSE,FALSE,0.00629365940262251
"F3|100|0.5|0.3","F3",100,0.5,0.3,0.0255623278722705,0.0148258722684733,1.72417024842633,-0.0364434048631586,FALSE,0.0280909482780928,0.0137975552741335,2.03593663659789,-0.0397202915069775,FALSE,0.085943125788327,0.466666666666667,FALSE,FALSE,0.00252862040582231
"F3|100|0.5|0.5","F3",100,0.5,0.5,0.014008664475143,0.0163072341091474,0.859046014877839,-0.0198470428274503,FALSE,0.00917467507470131,0.0142290444886492,0.644785043860121,-0.0128391624983602,FALSE,0.0567483660130719,0.3,FALSE,FALSE,-0.00483398940044169
"F3|1000|0.2|0.1","F3",1000,0.2,0.1,0.000744781335810059,0.00184009377946801,0.404751836085975,-0.00102734501954664,FALSE,0.00208691401046473,0.0019522919095864,1.06895592826938,-0.00287732418403053,FALSE,0.090942265795207,0.6,FALSE,FALSE,0.00134213267465467
"F3|1000|0.2|0.3","F3",1000,0.2,0.3,0.000944298542208319,0.00343324366013217,0.275045594105012,-0.001280762743092,FALSE,-0.000406647099015504,0.00302185863066271,0.134568538345662,0.000551631678308935,FALSE,0.0719314489928525,0.566666666666667,FALSE,FALSE,-0.00135094564122382
"F3|1000|0.2|0.5","F3",1000,0.2,0.5,0.00354837827899596,0.00344668450289535,1.02950481136733,-0.0047932517600774,FALSE,0.00436913182566765,0.00376332405784606,1.16097677439139,-0.00590384928956702,FALSE,0.081374269005848,0.466666666666667,FALSE,FALSE,0.000820753546671687
"F3|1000|0.5|0.1","F3",1000,0.5,0.1,0.0035799492314595,0.00289502712666494,1.23658572953808,-0.00542080613336887,FALSE,0.00407544948571901,0.00282182265633373,1.44426138069714,-0.00616763039372957,FALSE,0.0907489209133946,0.733333333333333,FALSE,FALSE,0.000495500254259514
"F3|1000|0.5|0.3","F3",1000,0.5,0.3,0.00481444226526064,0.00302180228568769,1.59323536422734,-0.00720436295671489,FALSE,0.00422056123911068,0.00311308061976107,1.35575070312012,-0.0063162933436865,FALSE,0.0889181286549708,0.633333333333333,FALSE,FALSE,-0.000593881026149963
"F3|1000|0.5|0.5","F3",1000,0.5,0.5,0.0122935730234035,0.00479518008455808,2.5637354190289,-0.0184094238611272,FALSE,0.011506067650605,0.00424181145447284,2.7125363241858,-0.0172329162239819,FALSE,0.0800186809616634,0.533333333333333,FALSE,FALSE,-0.0007875053727985
"F3|300|0.2|0.1","F3",300,0.2,0.1,0.00604821020708019,0.00549508076586826,1.10065901936285,-0.00812891307315102,FALSE,0.00844450759712555,0.00515097787695913,1.63939892557076,-0.0113303014864837,FALSE,0.123235294117647,0.7,FALSE,FALSE,0.00239629739004536
"F3|300|0.2|0.3","F3",300,0.2,0.3,0.00834460300889877,0.00654161919533061,1.27561736012624,-0.0113321943087941,FALSE,0.0086679603458795,0.00690064710675503,1.25610833473783,-0.0117324924976553,FALSE,0.0885890652557319,0.5,FALSE,FALSE,0.000323357336980735
"F3|300|0.2|0.5","F3",300,0.2,0.5,0.00678966009780696,0.00787941097778107,0.861696403062733,-0.00929414819011833,FALSE,0.00834899174244951,0.00793030099190699,1.05279632525547,-0.0113949919106166,FALSE,0.0759722222222222,0.5,FALSE,FALSE,0.00155933164464255
"F3|300|0.5|0.1","F3",300,0.5,0.1,0.0127375791645073,0.00563324896775357,2.26114259061176,-0.0189392777535628,FALSE,0.0155841613037939,0.00562745994624436,2.76930648154935,-0.02314858647231,FALSE,0.0633333333333333,0.5,FALSE,FALSE,0.00284658213928657
"F3|300|0.5|0.3","F3",300,0.5,0.3,0.00991590730580609,0.00598350543256675,1.65720703650343,-0.01483809209811,FALSE,0.00881113730439859,0.00666691631745955,1.32162110409631,-0.0131803503820053,FALSE,0.0627287581699346,0.366666666666667,FALSE,FALSE,-0.0011047700014075
"F3|300|0.5|0.5","F3",300,0.5,0.5,0.00742586174595087,0.00508146188260909,1.46136326858326,-0.0106376418096086,FALSE,0.00771481553924482,0.00517390305895757,1.49110167920293,-0.011016744714455,FALSE,0.0961955815464587,0.766666666666667,FALSE,FALSE,0.000288953793293947
