"set","tag","n","lambda","rho","seed","converged","n_attempts","drift","ess_min","ess_med","ess_frac_low","input_fix"
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n300_M20_s150",300,0.3,0,150,FALSE,1,0.752311684145946,49.8201768665578,1600,0.00346706290242694,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n300_M20_s151",300,0.3,0,151,FALSE,1,2.44409599547982,1.45218738338105,1560.3033037675,0.070827142149579,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n300_M20_s152",300,0.3,0,152,FALSE,1,0.144772117962467,78.5647282317578,1600,0.00247647350173353,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n300_M20_s153",300,0.3,0,153,FALSE,1,1.1659988132726,1.80442991516953,1600,0.0643883110450718,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n300_M20_s154",300,0.3,0,154,FALSE,1,4.6945303678672,2.76085322267273,1508.53732878482,0.0341753343239227,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n300_M20_s155",300,0.3,0,155,FALSE,1,0.286541126473505,1.73009051930691,1600,0.0208023774145617,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n300_M20_s156",300,0.3,0,156,FALSE,1,0.244414292613649,1.94567514953554,1600,0.0297176820208024,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n300_M20_s157",300,0.3,0,157,TRUE,1,0.501932143000969,41.512947851789,1600,0.00346706290242694,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n300_M20_s158",300,0.3,0,158,FALSE,1,0.345414982574952,3.29758913879324,1600,0.0500247647350173,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n300_M20_s159",300,0.3,0,159,FALSE,1,1.34704714249171,1.6010568752729,1600,0.0198117880138683,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n300_M20_s160",300,0.3,0,160,FALSE,1,0.510420052927567,2.09600190616041,1600,0.0104011887072808,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n300_M20_s161",300,0.3,0,161,FALSE,1,0.444444444444445,1.40164976945171,1600,0.0693412580485389,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n300_M20_s162",300,0.3,0,162,FALSE,1,0.545454545454545,1.55189119582048,1530.15287134568,0.12035661218425,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n300_M20_s163",300,0.3,0,163,FALSE,1,0.571428571428571,1.28311592627744,1479.15054178996,0.0346706290242694,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n300_M20_s164",300,0.3,0,164,FALSE,1,0.456938669719862,1.82236430958956,1470.56838396201,0.147597820703318,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n300_M20_s165",300,0.3,0,165,FALSE,1,0.162939297124601,5.47961315814663,1600,0.00643883110450718,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n300_M20_s166",300,0.3,0,166,FALSE,1,3.36021751697686,6.10664064431847,1600,0.0153541357107479,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n300_M20_s167",300,0.3,0,167,FALSE,1,0.291666666666667,3.29499095768187,1600,0.0133729569093611,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n300_M20_s168",300,0.3,0,168,FALSE,1,1.20127350963561,52.4184051983105,1600,0.00346706290242694,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n300_M20_s169",300,0.3,0,169,FALSE,1,0.355072463768116,35.9790487202549,1600,0.00495294700346706,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n300_M20_s170",300,0.3,0,170,FALSE,1,0.555924589205714,4.4197816818286,1460.45757747579,0.020307082714215,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n300_M20_s171",300,0.3,0,171,FALSE,1,0.558328285908755,1.4218365734636,1600,0.0163447251114413,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n300_M20_s172",300,0.3,0,172,FALSE,1,0.399017588948816,1.99655929581974,1600,0.0366518078256563,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n300_M20_s173",300,0.3,0,173,FALSE,1,1.74336491739067,2.1799501835794,1600,0.0445765230312036,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n300_M20_s174",300,0.3,0,174,FALSE,1,1.62382630794246,3.0763359863642,1600,0.0222882615156018,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n300_M20_s175",300,0.3,0,175,TRUE,1,0.571428571428571,2.17181938801955,1600,0.0529965329370976,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n300_M20_s176",300,0.3,0,176,FALSE,1,0.456832725125898,1.03922011443381,1600,0.0490341753343239,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n300_M20_s177",300,0.3,0,177,FALSE,1,0.323293172690763,3.13984793764701,1600,0.0926201089648341,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n300_M20_s178",300,0.3,0,178,TRUE,1,0.833333333333333,2.03837187552391,1600,0.13075780089153,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n300_M20_s179",300,0.3,0,179,FALSE,1,6.06388780233011,36.5647943947779,1600,0.00445765230312036,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n300_M20_s180",300,0.3,0,180,FALSE,1,2.34317500557742,26.9548135977474,1600,0.00643883110450718,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n300_M20_s181",300,0.3,0,181,FALSE,1,0.2,49.2178268084227,1600,0.00495294700346706,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n300_M20_s182",300,0.3,0,182,FALSE,1,6.11708686580288,2.49352796068529,1600,0.0366518078256563,""
