"n","lambda","arm","trait","n_fits","n_fits_trait_absent","n_fits_missing","accuracy","accuracy_se","brier","brier_se","ece","ece_se","set_coverage","set_coverage_se","set_size","set_size_se","mae_class","mae_class_se","frac_unanimous","frac_unanimous_se","n_na_draws"
300,0.3,"freqA","ord",400,0,0,0.323847222222222,0.00446666439391485,0.761956434089415,0.00269715933975058,0.129103596866097,0.00203326545088198,0.942921296296296,0.00159039348770799,3.61147222222222,0.0140238934932289,1.04964814814815,0.00790961728188941,0.00152777777777778,0.000321277266009835,0
300,0.3,"freqA_er","bin",400,0,0,0.529513888888889,0.00397325486370038,0.514218614398422,0.00230179055444648,0.104352564102564,0.00224595939451921,0.989472222222222,0.00140223261420533,1.95825,0.00626082264794073,NA,NA,0.0230277777777778,0.00384808701539119,0
300,0.3,"freqA_er","cat3",400,0,0,0.361527777777778,0.00433018842637533,0.691375287639711,0.00256012336129501,0.127859508547009,0.00219248244648593,0.984,0.00174068889641182,2.91266666666667,0.0125639599455709,NA,NA,0.0144444444444444,0.00312838819694573,0
300,0.3,"freqA_er","ord",400,0,0,0.31562037037037,0.00454407467313314,0.761899618671926,0.00258720089441757,0.125260719373219,0.00195941874437564,0.953273148148148,0.00142897065041131,3.69447222222222,0.0128091884911685,1.10696296296296,0.00888085370063507,0.000944444444444444,0.000202688541570101,0
300,0.3,"freqB","bin",400,0,0,0.601805555555556,0.00508406826886138,0.483546944444444,0.00340399528509036,0.101055555555556,0.00201944314687794,0.992777777777778,0.000832985168148578,1.97311111111111,0.00364731227710851,NA,NA,0.0106111111111111,0.00188822330075547,0
300,0.3,"freqB","cat3",400,0,0,0.432513888888889,0.00567853813346714,0.660385138888889,0.00385240938493321,0.1269625,0.0021386965602915,0.970430555555556,0.00145952365525771,2.81741666666667,0.0112197479943663,NA,NA,0.00613888888888889,0.00120428648360329,0
300,0.3,"freqB","ord",400,0,0,0.319402777777778,0.00459886813964067,0.764173611111111,0.00272041631540196,0.132305092592593,0.00215260196007932,0.942430555555556,0.00160979487399509,3.6095,0.0139313911085585,1.06109259259259,0.00817118982664462,0.00205555555555556,0.000418401197998363,0
300,0.3,"freqB_er","bin",400,0,0,0.5245,0.00394935390519119,0.5183325,0.00230050515746193,0.106811111111111,0.00223512118947585,0.988888888888889,0.00147012494909301,1.957,0.00616870157418549,NA,NA,0.0251111111111111,0.00409638205329347,0
300,0.3,"freqB_er","cat3",400,0,0,0.354263888888889,0.00443367048818506,0.692651527777778,0.00257266119963352,0.132108333333333,0.00220038314522672,0.9835,0.00171986705772475,2.91113888888889,0.0124833190316361,NA,NA,0.0153611111111111,0.00313684279379048,0
300,0.3,"freqB_er","ord",400,0,0,0.317331018518519,0.00469105443254263,0.759824027777778,0.00255244956790767,0.124447685185185,0.00216861495361481,0.955731481481481,0.0014574744707925,3.69561111111111,0.0128402390762018,1.09970833333333,0.00888452829673172,0.00116666666666667,0.00021106420502223,0
300,0.3,"mode_floor","bin",400,0,0,0.618722222222222,0.0049285803971289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
300,0.3,"mode_floor","cat3",400,0,0,0.453819444444444,0.00587306188336685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
300,0.3,"mode_floor","ord",400,0,0,0.343458333333333,0.00478089820702387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
300,0.7,"bace","bin",400,0,0,0.808125,0.00408753498000751,0.280838888888889,0.00544988734249208,0.0944555555555556,0.00209011836732821,0.957944444444444,0.00134122040711105,1.45547222222222,0.0100993309778454,NA,NA,0.410444444444444,0.0103891215684045,0
300,0.7,"bace","cat3",400,0,0,0.678125,0.00530023577631002,0.442187358140723,0.00639900367149556,0.118142669394756,0.002322944632344,0.945041666666667,0.00147854442266578,1.92325,0.0142381748780885,NA,NA,0.132611111111111,0.00835730840602609,366
300,0.7,"bace","ord",400,0,0,0.572914351851852,0.00532356275593868,0.549085694444444,0.00584541259611658,0.125256018518519,0.00206959606949396,0.933217592592593,0.00157624602053529,2.37325,0.0160718747853798,0.484277777777778,0.00645304119532363,0.0840555555555556,0.00561058170989105,0
300,0.7,"bace_chain","bin",400,0,0,0.813861111111111,0.00403895500197359,0.265697361111111,0.00517516624071292,0.0789458333333333,0.00169801507681216,0.970416666666667,0.00104266985017947,1.50711111111111,0.0105468738572396,NA,NA,0.360361111111111,0.0103601031804509,0
300,0.7,"bace_chain","cat3",400,0,0,0.677069444444444,0.00537247947150485,0.434859712511869,0.00624097211108139,0.108868668658984,0.00203730962300037,0.952041666666667,0.00125780596649308,1.96233333333333,0.0147266196151232,NA,NA,0.127166666666667,0.00842214762540357,331
300,0.7,"bace_chain","ord",400,0,0,0.57218287037037,0.00537366637336545,0.538510555555556,0.00572257760945813,0.110755092592593,0.00200489869842708,0.946212962962963,0.00139400177439548,2.45225,0.0169802851135247,0.48349537037037,0.00642333777954736,0.0733888888888889,0.00532634878095357,0
300,0.7,"bace_resid","bin",400,0,0,0.808125,0.00408753498000751,0.280838888888889,0.00544988734249208,0.0944555555555556,0.00209011836732821,0.957944444444444,0.00134122040711105,1.45547222222222,0.0100993309778454,NA,NA,0.410444444444444,0.0103891215684045,0
300,0.7,"bace_resid","cat3",400,0,0,0.678125,0.00530023577631002,0.442187358140723,0.00639900367149556,0.118142669394756,0.002322944632344,0.945041666666667,0.00147854442266578,1.92325,0.0142381748780885,NA,NA,0.132611111111111,0.00835730840602609,366
300,0.7,"bace_resid","ord",400,0,0,0.572914351851852,0.00532356275593868,0.549085694444444,0.00584541259611658,0.125256018518519,0.00206959606949396,0.933217592592593,0.00157624602053529,2.37325,0.0160718747853798,0.484277777777778,0.00645304119532363,0.0840555555555556,0.00561058170989105,0
300,0.7,"freqA","bin",400,0,0,0.734055555555556,0.0069914897679099,0.364341666666667,0.00703540979560827,0.0930611111111111,0.00191010572970071,0.970277777777778,0.00167655795033949,1.73330555555556,0.0152251631288025,NA,NA,0.167055555555556,0.0115997240700988,0
300,0.7,"freqA","cat3",400,0,0,0.583041666666667,0.00777342412935602,0.536779305555556,0.00750282524462483,0.126494444444444,0.00250012513997267,0.942416666666667,0.00191688459042248,2.28925,0.0224935843430447,NA,NA,0.0788888888888889,0.00671844737986498,0
