"n","lambda","rho","arm","trait","n_fits","n_fits_trait_absent","n_fits_missing","accuracy","accuracy_se","brier","brier_se","ece","ece_se","set_coverage","set_coverage_se","set_size","set_size_se","mae_class","mae_class_se","frac_unanimous","frac_unanimous_se","n_na_draws"
100,0.3,0.5,"freqB","bin",200,0,0,0.578416666666667,0.0089782271998202,0.50519,0.00663471794341865,0.152033333333333,0.00501516627813275,0.983666666666667,0.00258836032207566,1.94883333333333,0.00822586482006408,NA,NA,0.025,0.00556043894808367,0
100,0.3,0.5,"freqB","cat3",200,0,0,0.422666666666667,0.00925553842976142,0.683033333333333,0.00675768592755519,0.187625,0.00488923139995444,0.950166666666667,0.00383020045309482,2.77216666666667,0.017384503615025,NA,NA,0.0115,0.00224910801849058,0
100,0.3,0.5,"freqB","ord",200,0,0,0.329430555555556,0.0078026417577058,0.775936666666667,0.00543867511352793,0.183563888888889,0.00493591645552994,0.917555555555556,0.00481583404865838,3.47733333333333,0.0258596046240486,1.03705555555556,0.014446812394489,0.006,0.00143264951940433,0
100,0.3,0.5,"freqB_er","bin",200,0,0,0.535416666666667,0.00738010202629214,0.517048333333333,0.00479120372681756,0.142266666666667,0.00498438432528808,0.983333333333333,0.00273529773754329,1.94133333333333,0.00954650084543859,NA,NA,0.0341666666666667,0.00643412480702576,0
100,0.3,0.5,"freqB_er","cat3",200,0,0,0.356,0.00756973904374493,0.699290833333333,0.004277614004448,0.1682,0.00473759156843925,0.978583333333333,0.00294272873857084,2.89983333333333,0.0160026824593924,NA,NA,0.0165,0.00386827711509865,0
100,0.3,0.5,"freqB_er","ord",200,0,0,0.324736111111111,0.00797108617447184,0.767449166666667,0.00520094309156873,0.167083333333333,0.00489986071189452,0.938611111111111,0.00415455152881852,3.6225,0.0220475318972042,1.09258333333333,0.0162548354271184,0.003,0.00095077035385697,0
100,0.3,0.5,"mode_floor","bin",200,0,0,0.589166666666667,0.00878090378929094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,0.3,0.5,"mode_floor","cat3",200,0,0,0.433666666666667,0.00948636212904229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,0.3,0.5,"mode_floor","ord",200,0,0,0.339055555555556,0.00862372412477692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,0.7,0,"bace","bin",200,0,0,0.752666666666667,0.00863559046440369,0.3657925,0.0118869481897665,0.162291666666667,0.00547868359800577,0.937333333333333,0.00357233616927485,1.52616666666667,0.0132343003498854,NA,NA,0.316333333333333,0.0121386692852072,0
100,0.7,0,"bace","cat3",200,0,0,0.60325,0.010149655450782,0.570012640176529,0.0135318673178669,0.23257851165504,0.00661980095851991,0.91225,0.00417457791659064,2.07966666666667,0.0203950240808515,NA,NA,0.146666666666667,0.00908425724866435,8410
100,0.7,0,"bace","ord",200,0,0,0.525694444444444,0.0106766277513758,0.623451666666667,0.0122274847834286,0.223827777777778,0.00541814685784375,0.881361111111111,0.00452877447213841,2.335,0.0281365716935569,0.603805555555556,0.0144123347900377,0.118,0.00969910228567376,0
100,0.7,0,"bace_chain","bin",200,0,0,0.768083333333333,0.00814937449001135,0.330898333333333,0.0105648585625232,0.14155,0.00475356561931698,0.961,0.00255710874559434,1.58616666666667,0.0129601836243032,NA,NA,0.263333333333333,0.01124072916599,0
100,0.7,0,"bace_chain","cat3",200,0,0,0.609194444444444,0.0102294385517456,0.550583777361516,0.0132040385790201,0.21729916259566,0.00659390766997652,0.921083333333333,0.00396360730380018,2.14133333333333,0.0202113898377535,NA,NA,0.135166666666667,0.00910941463281481,8869
100,0.7,0,"bace_chain","ord",200,0,0,0.532069444444444,0.0108169068562153,0.6003175,0.0117893086968589,0.203958333333333,0.00547305711093213,0.901138888888889,0.00430408919393139,2.432,0.0298065978853442,0.589972222222222,0.0142317097348333,0.107166666666667,0.00947498838003439,0
100,0.7,0,"bace_resid","bin",200,0,0,0.752666666666667,0.00863559046440369,0.3657925,0.0118869481897665,0.162291666666667,0.00547868359800577,0.937333333333333,0.00357233616927485,1.52616666666667,0.0132343003498854,NA,NA,0.316333333333333,0.0121386692852072,0
100,0.7,0,"bace_resid","cat3",200,0,0,0.60325,0.010149655450782,0.570012640176529,0.0135318673178669,0.23257851165504,0.00661980095851991,0.91225,0.00417457791659064,2.07966666666667,0.0203950240808515,NA,NA,0.146666666666667,0.00908425724866435,8410
100,0.7,0,"bace_resid","ord",200,0,0,0.525694444444444,0.0106766277513758,0.623451666666667,0.0122274847834286,0.223827777777778,0.00541814685784375,0.881361111111111,0.00452877447213841,2.335,0.0281365716935569,0.603805555555556,0.0144123347900377,0.118,0.00969910228567376,0
100,0.7,0,"freqA","bin",200,0,0,0.7265,0.0109915898513145,0.3729625,0.011214515377903,0.132508333333333,0.00438197473866219,0.970833333333333,0.00271416554101463,1.748,0.020834944661305,NA,NA,0.1515,0.0155914433074986,0
100,0.7,0,"freqA","cat3",200,0,0,0.563166666666667,0.0112093860228103,0.566194166666667,0.0116057480955551,0.182525,0.00467769063881432,0.93425,0.00414895313496504,2.31783333333333,0.0303955658664869,NA,NA,0.0715,0.0089617261114534,0
100,0.7,0,"freqA","ord",200,0,0,0.485652777777778,0.0121433674182573,0.648516666666667,0.01162335529572,0.193258333333333,0.00494311690140684,0.907194444444444,0.00460685216661469,2.7505,0.0388198156212621,0.662722222222222,0.0168321668446135,0.0556666666666667,0.00773337809725391,0
100,0.7,0,"freqA_er","bin",200,0,0,0.682083333333333,0.0119684220074731,0.400141666666667,0.0115262094064046,0.137216666666667,0.00512146038789191,0.961166666666667,0.00351893260172736,1.693,0.0233089008239651,NA,NA,0.218666666666667,0.0192700981683303,0
100,0.7,0,"freqA_er","cat3",200,0,0,0.497916666666667,0.0134240722614415,0.618175833333333,0.0122008225160886,0.187733333333333,0.00610008695510603,0.93525,0.00520406776751288,2.48833333333333,0.0408841085193857,NA,NA,0.119,0.0131233677297222,0
100,0.7,0,"freqA_er","ord",200,0,0,0.467277777777778,0.0127527970557038,0.6703975,0.0115540896942191,0.195866666666667,0.00534330249642817,0.916166666666667,0.00429721775129095,2.95766666666667,0.0481150619329639,0.754611111111111,0.0210849815520447,0.0583333333333333,0.0080677962026022,0
100,0.7,0,"freqB","bin",200,0,0,0.7245,0.010951972458231,0.379865833333333,0.0114351899944287,0.138358333333333,0.00485357163986652,0.964666666666667,0.00316704132492281,1.73216666666667,0.0214902331964175,NA,NA,0.176333333333333,0.0176787986535109,0
100,0.7,0,"freqB","cat3",200,0,0,0.565333333333333,0.0113318552588234,0.567985833333333,0.0116789118423895,0.179475,0.00504164091802332,0.92425,0.0046013578883333,2.26683333333333,0.0321381175327413,NA,NA,0.1015,0.0111241346064582,0
100,0.7,0,"freqB","ord",200,0,0,0.485930555555556,0.0121402905455499,0.656393333333333,0.0115885248021916,0.196102777777778,0.00520286467413466,0.897972222222222,0.00455153938736273,2.6855,0.0413841865131558,0.671555555555556,0.0173639974150158,0.0761666666666667,0.00931302378716502,0
