"n","lambda","rho","arm","n_fits","n_excluded","n_undefined","n_missing","truth","truth_mc_se","coverage","coverage_se","complete_coverage","complete_coverage_se","coverage_cond","coverage_cond_se","complete_coverage_cond","bias_cond","bias_cond_se","bias","bias_se","rmse","se_mean","emp_sd","width","fmi_mean","m_ok_min","diff_cd_mean","diff_cd_sd","diff_cd_se"
100,0.7,0.5,"freqB_er",200,0,0,0,0.52637722720545,0.00271544004337402,0.845,0.0256547428197152,0.96,0.0138911779241576,0.875,0.0234440422192481,0.985,-0.203111392006849,0.00967209204526177,-0.202814936000897,0.0110552796004843,0.25584276512534,0.205117479073776,0.156345263468315,0.824918526070435,0.337874870636518,20,-0.20772225295298,0.13903251182162,0.00983108319144665
100,1,0,"bace",172,15,1,12,-0.00461077820154483,0.00592591719732256,0.994186046511628,0.00581395348837208,0.97093023255814,0.0128474440679978,0.994186046511628,0.00581395348837208,0.97093023255814,0.000298352004173247,0.0240628300372991,0.00490913020571807,0.0240628300372991,0.314700625273372,0.333484139728881,0.315581057380633,101.616348090868,0.475553921293398,20,-0.00191254479417679,0.31422419713384,0.0239593704134105
100,1,0,"bace_chain",169,15,1,15,-0.00461077820154483,0.00592591719732256,1,0,0.970414201183432,0.01307270860486,1,0,0.970414201183432,-0.00565650515508877,0.0166178591188787,-0.00104572695354394,0.0166178591188787,0.215394610307697,0.302967304864345,0.216032168545423,3.75797272383153,0.514004812254806,20,-0.00572149980226805,0.299737548115335,0.0230567344704103
100,1,0,"bace_resid",172,15,1,12,-0.00461077820154483,0.00592591719732256,0.994186046511628,0.00581395348837208,0.97093023255814,0.0128474440679978,0.994186046511628,0.00581395348837208,0.97093023255814,0.000528425595608986,0.0240851243087768,0.00513920379715381,0.0240851243087768,0.314995794945595,0.334495578885833,0.315873444009951,94.7303463744071,0.475833968552441,20,-0.00168247120274105,0.314355355620727,0.0239693711542792
100,1,0,"complete",184,15,1,0,-0.00461077820154483,0.00592591719732256,0.972826086956522,0.012018994869321,0.972826086956522,0.012018994869321,0.972826086956522,0.012018994869321,0.972826086956522,0.0119054720792711,0.0303736719048342,0.0165162502808159,0.0303736719048342,0.411219231621211,0.240264136050972,0.412008531315533,0.953592716957504,0,NA,0,0,0
100,1,0,"freqA",184,15,1,0,-0.00461077820154483,0.00592591719732256,1,0,0.972826086956522,0.012018994869321,1,0,0.972826086956522,0.040299118764435,0.0276159109051494,0.0449098969659798,0.0276159109051494,0.376270847625304,0.287979785404166,0.374600441086621,1.15613409571249,0.30551275449848,20,0.0283936466851652,0.186292775462053,0.013733685615825
100,1,0,"freqA_er",184,15,1,0,-0.00461077820154483,0.00592591719732256,0.983695652173913,0.00936173938466032,0.972826086956522,0.012018994869321,0.983695652173913,0.00936173938466032,0.972826086956522,0.0400157884475423,0.0314427478891079,0.0446265666490871,0.0314427478891079,0.427684253512541,0.295942613691098,0.426510183520291,1.18273733530543,0.255210980323002,20,0.0281103163682725,0.200871209553176,0.0148084220358603
100,1,0,"freqB",184,15,1,0,-0.00461077820154483,0.00592591719732256,0.983695652173913,0.00936173938466032,0.972826086956522,0.012018994869321,0.983695652173913,0.00936173938466032,0.972826086956522,0.0445337708669949,0.0318250101315308,0.0491445490685397,0.0318250101315308,0.43331663837168,0.300935293511662,0.431695440856693,1.20324779110384,0.26906141017153,20,0.032628298787725,0.205021989697061,0.0151144216078519
100,1,0,"freqB_er",184,15,1,0,-0.00461077820154483,0.00592591719732256,0.989130434782609,0.00766491466179157,0.972826086956522,0.012018994869321,0.989130434782609,0.00766491466179157,0.972826086956522,0.0459974293225548,0.0313801684342995,0.0506082075240997,0.0313801684342995,0.427509099734028,0.298777503985175,0.425661314494942,1.19416717244919,0.253692745759982,20,0.034091957243285,0.206320767557054,0.015210168781996
100,1,0.5,"bace",154,17,1,28,0.253345190611432,0.00719339266329275,0.720779220779221,0.0362684738296972,0.551948051948052,0.0402038433355124,0.961038961038961,0.0156437204516503,0.974025974025974,-0.101321639606983,0.0240869115190029,-0.125248594756546,0.0189822259698563,0.26611448779126,0.251145775822769,0.235563229360369,8.08956813127978,0.529079865422627,20,-0.0688515589057176,0.210887491362113,0.0169937983365294
