"contrast","measure","n","lambda","rho","trait","diff","se","datasets"
"freqA - freqB","accuracy",300,0.7,0,"ord",-0.00160185185185186,0.00343039174277151,200
"freqA - freqB","accuracy",300,0.7,0.5,"bin",0.00316666666666667,0.00249713217234723,200
"freqA - freqB","accuracy",300,0.7,0.5,"cat3",-0.00341666666666666,0.00296040560292498,200
"freqA - freqB","accuracy",300,0.7,0.5,"ord",0.00322222222222222,0.00323770802768494,200
"freqA - freqB","accuracy",300,1,0,"bin",-0.000686977299880524,0.000517138501468872,186
"freqA - freqB","accuracy",300,1,0,"cat3",-0.000623582766439913,0.000767545117983779,196
"freqA - freqB","accuracy",300,1,0,"ord",0.000502512562814071,0.000781842296827909,199
"freqA - freqB","accuracy",300,1,0.5,"bin",-0.00123123123123123,0.000509155055632756,185
"freqA - freqB","accuracy",300,1,0.5,"cat3",-0.000589225589225592,0.000687173290069161,198
"freqA - freqB","accuracy",300,1,0.5,"ord",0.000781686208821888,0.000863576051042869,199
"freqA - freqB","brier",100,0.3,0,"bin",-0.00178583333333333,0.00385263427637923,200
"freqA - freqB","brier",100,0.3,0,"cat3",0.00401916666666666,0.00407512441491897,200
"freqA - freqB","brier",100,0.3,0,"ord",-0.00384666666666667,0.00378006030250364,200
"freqA - freqB","brier",100,0.3,0.5,"bin",-0.00266,0.00384732278006161,200
"freqA - freqB","brier",100,0.3,0.5,"cat3",0.00237249999999999,0.00378927395697669,200
"freqA - freqB","brier",100,0.3,0.5,"ord",-0.00249000000000001,0.00372503333018638,200
"freqA - freqB","brier",100,0.7,0,"bin",-0.00690333333333333,0.00283923721285585,200
"freqA - freqB","brier",100,0.7,0,"cat3",-0.00179166666666667,0.00357225152339511,200
"freqA - freqB","brier",100,0.7,0,"ord",-0.00787666666666667,0.00337101093744421,200
"freqA - freqB","brier",100,0.7,0.5,"bin",-0.00451166666666666,0.00340865660518011,200
"freqA - freqB","brier",100,0.7,0.5,"cat3",0.000644166666666666,0.00343832082276544,200
"freqA - freqB","brier",100,0.7,0.5,"ord",-0.00950166666666666,0.00330924335082768,200
"freqA - freqB","brier",100,1,0,"bin",0.000762162162162161,0.00139841975264818,185
"freqA - freqB","brier",100,1,0,"cat3",0.00381133671742809,0.00200355477490686,197
"freqA - freqB","brier",100,1,0,"ord",0.00674416666666667,0.00234423895495262,200
"freqA - freqB","brier",100,1,0.5,"bin",0.000234061930783244,0.00137856631882444,183
"freqA - freqB","brier",100,1,0.5,"cat3",-0.00244273504273504,0.00256941376235627,195
"freqA - freqB","brier",100,1,0.5,"ord",0.00694666666666667,0.00224766420105236,200
"freqA - freqB","brier",300,0.3,0,"bin",-0.00177472222222222,0.00211729464817597,200
"freqA - freqB","brier",300,0.3,0,"cat3",0.000304999999999998,0.00216360250156727,200
"freqA - freqB","brier",300,0.3,0,"ord",4.49999999999952e-05,0.00237484880518932,200
"freqA - freqB","brier",300,0.3,0.5,"bin",-0.00114776791584484,0.00229034999157166,200
"freqA - freqB","brier",300,0.3,0.5,"cat3",-0.00238407297830375,0.00213426090700035,200
"freqA - freqB","brier",300,0.3,0.5,"ord",-0.0044793540433925,0.00207434620528311,200
"freqA - freqB","brier",300,0.7,0,"bin",-0.00221305555555556,0.00238918660505426,200
"freqA - freqB","brier",300,0.7,0,"cat3",-0.00250805555555555,0.00208816968495147,200
"freqA - freqB","brier",300,0.7,0,"ord",-0.0037425,0.00200507785565933,200
"freqA - freqB","brier",300,0.7,0.5,"bin",-0.00431055555555556,0.00194010336144883,200
"freqA - freqB","brier",300,0.7,0.5,"cat3",0.00184805555555556,0.00207409432776355,200
"freqA - freqB","brier",300,0.7,0.5,"ord",-0.00513333333333334,0.00194877506898452,200
"freqA - freqB","brier",300,1,0,"bin",0.000531660692951015,0.000629865655763533,186
"freqA - freqB","brier",300,1,0,"cat3",0.00144671201814059,0.000710847651817512,196
"freqA - freqB","brier",300,1,0,"ord",-0.000217755443886096,0.00090842351370567,199
"freqA - freqB","brier",300,1,0.5,"bin",0.00119309309309309,0.000635691983737195,185
"freqA - freqB","brier",300,1,0.5,"cat3",0.000825476992143657,0.000830118034427777,198
"freqA - freqB","brier",300,1,0.5,"ord",-5.41596873255172e-05,0.000969478516159459,199
"freqA - freqA_er","accuracy",100,0.3,0,"bin",0.0535,0.00929583127331691,200
"freqA - freqA_er","accuracy",100,0.3,0,"cat3",0.0540833333333333,0.00888264694819362,200
"freqA - freqA_er","accuracy",100,0.3,0,"ord",0.00244444444444444,0.00679993586274552,200
"freqA - freqA_er","accuracy",100,0.3,0.5,"bin",0.03925,0.00914390924136965,200
"freqA - freqA_er","accuracy",100,0.3,0.5,"cat3",0.0641666666666667,0.00900148104942702,200
"freqA - freqA_er","accuracy",100,0.3,0.5,"ord",0.0130833333333333,0.00761560178199282,200
"freqA - freqA_er","accuracy",100,0.7,0,"bin",0.0444166666666667,0.00769885956371448,200
"freqA - freqA_er","accuracy",100,0.7,0,"cat3",0.06525,0.0081459480632549,200
"freqA - freqA_er","accuracy",100,0.7,0,"ord",0.018375,0.00671357373983917,200
"freqA - freqA_er","accuracy",100,0.7,0.5,"bin",0.02025,0.00691424449526171,200
"freqA - freqA_er","accuracy",100,0.7,0.5,"cat3",0.0658333333333333,0.00895250043832834,200
