"arm","n","lambda","rho","estimand","coverage","coverage_se","bias","bias_se","rmse","bias_vs_complete","ci_width","fmi_median","datasets"
"complete",300,0.3,0,"slope",0.92,0.019231465004808,-0.00450400761899489,0.00453049637575602,0.0640690265991994,0,0.226662934285466,0,200
"freqA",300,0.3,0,"slope",0.959798994974874,0.0139596974403726,-0.00565194846196775,0.00551976741069204,0.077875383212592,-0.000767869820566303,0.317460205154486,0.479685987543921,199
"freqB",300,0.3,0,"slope",0.92964824120603,0.0181745727623448,-0.00440837577200654,0.00551331298244505,0.0777043405823758,0.000475702869394906,0.277453070673492,0.312112430224705,199
"bace",1000,0.3,0,"slope",0.92,0.0272659924344291,-0.000652560594851256,0.00469975633827511,0.0467665381400687,-0.00355890566439875,0.158378740283169,0.373562233112386,100
"bace_chain",1000,0.3,0,"slope",1,0,0.00337615047176368,0.00421807240851045,0.042104866007485,0.000469805402216183,0.172523831002097,0.456874540419577,100
"bace_resid",1000,0.3,0,"slope",0.95,0.021904291355759,-0.00107099627446719,0.00406363376823303,0.0404468274880735,-0.00397734134401469,0.164966813898831,0.432795024192726,100
"complete",1000,0.3,0,"slope",0.95,0.0154497076780334,0.00356182416730172,0.00227902403310692,0.0323462942166654,0,0.12431376681224,0,200
"freqA",1000,0.3,0,"slope",0.955,0.0146953997519409,0.00392416180430635,0.00291702448006239,0.0413363807983445,0.000362337637033129,0.17333839606088,0.474671781266772,200
"freqB",1000,0.3,0,"slope",0.925,0.0186713173196821,0.00312146708711116,0.00293307392862766,0.0414936762442687,-0.000440357080162064,0.151818546552407,0.313577073142581,200
"bace",100,0.7,0,"slope",0.925,0.0186713173196821,0.000744701583229026,0.01001283224953,0.141250344078294,8.03146325812855e-06,0.536012771663766,0.42870509894744,200
"bace_chain",100,0.7,0,"slope",0.965,0.013027801736688,0.011854911877008,0.00967774129381451,0.137035088824221,0.0111182417570371,0.575264648131608,0.51113483829378,200
"bace_resid",100,0.7,0,"slope",0.95,0.0154497076780334,-0.000984946221406239,0.00896967439582862,0.126536661935301,-0.00172161634137713,0.548808187271566,0.4521539511703,200
"complete",100,0.7,0,"slope",0.915,0.0197693992252836,0.000736670119970894,0.00763982809402953,0.10777555553475,0,0.394579707657295,0,200
"freqA",100,0.7,0,"slope",0.945,0.0161610923059864,0.010839012807147,0.0100508809638345,0.142198824257862,0.0101023426870521,0.557844016836329,0.48784355290359,200
"freqB",100,0.7,0,"slope",0.91,0.020286887118154,0.011975242341161,0.0101392904745097,0.143532726174554,0.0112385722210662,0.480695210387831,0.329609285637515,200
"bace",300,0.7,0,"slope",0.86,0.0245972584982177,-0.0234534676602337,0.0062753949254876,0.0915794783670768,-0.0187661940092961,0.289752843615591,0.383871608260275,200
"bace_chain",300,0.7,0,"slope",0.955,0.0146953997519409,-0.00603457276753085,0.0055805688330021,0.0789545630091233,-0.00134729911659327,0.311895790375104,0.454191984363084,200
"bace_resid",300,0.7,0,"slope",0.935,0.0174757549207538,-0.0196576047403882,0.00549062064803739,0.079910309279589,-0.0149703310894506,0.300181010747094,0.424905195795247,200
"complete",300,0.7,0,"slope",0.935,0.0174757549207538,-0.00468727365093758,0.00449981185250449,0.0636504797244986,0,0.226946993478962,0,200
"freqA",300,0.7,0,"slope",0.975,0.0110674042659483,-0.00513223534216283,0.0054711860672213,0.0773510268778411,-0.000444961691181538,0.316937255381843,0.482230969409868,200
"freqB",300,0.7,0,"slope",0.94,0.0168349958546813,-0.00358874455168641,0.00548876057395415,0.0775116192738725,0.00109852909929488,0.277081153542373,0.313373995835685,200
"bace",1000,0.7,0,"slope",0.83,0.0377525168068637,-0.0215579189291355,0.00495796564088223,0.0538359060003255,-0.0245784807102068,0.159870458681789,0.381143658326125,100
"bace_chain",1000,0.7,0,"slope",0.99,0.01,0.00166810967966409,0.0041999032102945,0.041821789781306,-0.0013524521014073,0.173895624283439,0.457420422188844,100
"bace_resid",1000,0.7,0,"slope",0.94,0.0238683256575942,-0.0186444361933333,0.00430247795340766,0.0466929902488972,-0.0216649979744047,0.166702998970713,0.437009861027592,100
"complete",1000,0.7,0,"slope",0.95,0.0154497076780334,0.00366602257501871,0.00227575836479947,0.0323121629170277,0,0.124302337231742,0,200
"freqA",1000,0.7,0,"slope",0.965,0.013027801736688,0.0035588665536664,0.00291193992402551,0.0412318440195489,-0.000107156021379544,0.172956475836307,0.47580267049587,200
"freqB",1000,0.7,0,"slope",0.925,0.0186713173196821,0.00279947127817439,0.0029396280716769,0.0415629434255528,-0.000866551296871557,0.151764534361095,0.311617331284285,200
"bace",100,1,0,"slope",0.983783783783784,0.00931141496388133,-0.013666642776453,0.0095777524426994,0.13063579917407,-0.0106647091157604,1.15591178576405,0.507919920220587,185
"bace_chain",100,1,0,"slope",0.994505494505495,0.0054945054945055,-0.00239751561016129,0.0085609118817132,0.115200240875225,-0.000624420894596986,1.09117063814393,0.58006873589714,182
"bace_resid",100,1,0,"slope",0.983783783783784,0.00931141496388133,-0.0130613566691585,0.00939789396551756,0.128146613921974,-0.0100594230084658,0.878495997665329,0.49861468392157,185
"complete",100,1,0,"slope",0.945,0.0161610923059864,-0.00021615837418727,0.00758514321959345,0.107001831101761,0,0.401482435820627,0,200
"freqA",100,1,0,"slope",0.955,0.0146953997519409,-0.00635618182607783,0.00938644990385243,0.132564640704506,-0.00614002345193742,0.551313458758441,0.474291068648613,200
"freqB",100,1,0,"slope",0.93,0.0180868924470723,-0.00385635197284138,0.00948347392808766,0.13383643271448,-0.00364019359870097,0.487312983247701,0.349883777990922,200
"bace",300,1,0,"slope",0.925925925925926,0.0191003934492369,-0.0189723797352705,0.00617033906851475,0.0867046194055537,-0.0165647885707983,0.373379746855706,0.47542410184753,189
"bace_chain",300,1,0,"slope",0.978835978835979,0.0104972401064315,-0.00330427364810776,0.00551894903927947,0.0757441241417205,-0.000896682483635615,0.377346785134018,0.51499369936182,189
"bace_resid",300,1,0,"slope",0.941798941798942,0.0170751927538629,-0.0181421508596663,0.00603566625227326,0.0847221332018676,-0.0157345596951942,0.370859881930798,0.473244404910376,189
"complete",300,1,0,"slope",0.94,0.0168349958546813,-0.00410699808359184,0.00445005247876711,0.0629099187644612,0,0.227740779233419,0,200
"freqA",300,1,0,"slope",0.94,0.0168349958546813,-0.00777677164923668,0.00573242545976485,0.0812388934315618,-0.00366977356559836,0.312950808672559,0.471872455778389,200
"freqB",300,1,0,"slope",0.935,0.0174757549207538,-0.00616540094318928,0.00562454208955333,0.0795831102590525,-0.00205840285955095,0.278111564266098,0.329433838669036,200
"bace",1000,1,0,"slope",0.915789473684211,0.0286429066584514,-0.0165230755443742,0.00488934110489261,0.0502010331647108,-0.0193574648564972,0.190883149350255,0.445123253447215,95
"bace_chain",1000,1,0,"slope",0.968421052631579,0.0180371122881979,-0.00581875659208975,0.00490566880070671,0.0479168347056371,-0.00865314590421271,0.222840432576251,0.50426936282315,95
"bace_resid",1000,1,0,"slope",0.957894736842105,0.0207139612627491,-0.0154108408355273,0.00478736680863479,0.0489067359934933,-0.0182452301476503,0.189613951726352,0.443349583188787,95
"complete",1000,1,0,"slope",0.95,0.0154497076780334,0.00354336736615061,0.00227341453494628,0.032265612781796,0,0.12438735418561,0,200
