"arm","n","lambda","rho","coverage","coverage_se","width","width_se","zrmse","zrmse_se","iscore","iscore_se","width_median","datasets"
"bace_chain",100,0.7,0.5,0.949333333333333,0.00225669795286711,2.96938785995891,0.03321041648862,0.699002518077338,0.00893473780480872,3.58471930691758,0.0500037344550941,2.99508097814066,200
"bace_resid",100,0.7,0.5,0.944333333333333,0.00314909610102481,3.2516849476517,0.0421189141247528,0.75540244779077,0.00982846784251512,3.99197492696473,0.060634888345263,3.23147804578464,200
"freqA",100,0.7,0.5,0.937583333333333,0.00240682742587757,2.7030869492611,0.0288917716634926,0.677440316044329,0.00826841386655949,3.43367713461517,0.048836668021737,2.72793981704224,200
"freqB",100,0.7,0.5,0.936333333333333,0.00227186319293053,2.69527533240456,0.0286342594289499,0.678181577924372,0.00828702817920379,3.43926909582774,0.0498950039026252,2.72557626964145,200
"bace",300,0.7,0.5,0.916,0.00205678129057283,2.42080897568927,0.0262450645068694,0.667742830123018,0.00719479265706857,3.43786081697792,0.0430804530622933,2.44515096457884,200
"bace_chain",300,0.7,0.5,0.944527777777778,0.00142293693437234,2.65500191230854,0.0275900379371777,0.649214827357021,0.00700536771082738,3.24233993836318,0.0368313538851364,2.71048499794661,200
"bace_resid",300,0.7,0.5,0.972472222222222,0.00103246024665751,3.28058084504725,0.0362639477141006,0.677358860683552,0.00729392382737833,3.56460951457172,0.0394473178052741,3.28763516891907,200
"freqA",300,0.7,0.5,0.944027777777778,0.00134474083189174,2.68946384182166,0.0268921996322437,0.665246380696174,0.00714994829116714,3.29226579916394,0.0372826459804393,2.73456225610248,200
"freqB",300,0.7,0.5,0.946166666666667,0.00134269350846851,2.68925472987756,0.0268245205757869,0.664955851687153,0.00716980711627565,3.2794509438691,0.0373175469081064,2.71998787736569,200
"bace",1000,0.7,0.5,0.93145,0.00126656365875684,2.35947609564843,0.0323968725737364,0.617980838592225,0.0088017559850579,3.07150377567559,0.0441739103026405,2.36078554459965,100
"bace_chain",1000,0.7,0.5,0.94825,0.00100458404992105,2.5163631200328,0.034409771583879,0.612243180329388,0.00867286810468408,3.02928440015506,0.044690488019409,2.51184692083061,100
