"arm","n","lambda","estimand","coverage","coverage_se","bias","rmse","ci_width","fmi_median","datasets"
"bace_chain",300,1,"slope",0.965699208443272,0.00936110483565942,-0.0269958345182341,0.0855524717558409,0.390239724194826,0.550641585279666,379
"bace_resid",300,1,"slope",0.931578947368421,0.0129683613566006,-0.0254491547333603,0.0909137209789141,0.340649216798037,0.467956789394911,380
"complete",300,1,"slope",0.94,0.0118892129032433,-0.00383188137863781,0.0588468405615986,0.212485039763611,0,400
"freqA",300,1,"slope",0.93,0.0127733274731701,-0.01705513198022,0.0780538452177539,0.293063595040288,0.470067409600578,400
"freqB",300,1,"slope",0.9175,0.0137734761994401,-0.0159779543262133,0.0766777998267389,0.261367413458383,0.334748893059546,400
"bace",1000,1,"slope",0.921052631578947,0.0196146313815771,-0.00831173035202944,0.0556917226309456,0.201561148602239,0.440840531456115,190
"bace_chain",1000,1,"slope",0.968421052631579,0.0127203784866662,-0.0175074706915156,0.0537253677571527,0.234053564769352,0.521408399316241,190
"bace_resid",1000,1,"slope",0.957894736842105,0.0146081824523939,-0.0127528179181034,0.0550708598767165,0.200582651935227,0.432964741039956,190
"complete",1000,1,"slope",0.95,0.0109108945117996,0.0033060067600655,0.0301817171010187,0.11605498140993,0,400
"freqA",1000,1,"slope",0.9625,0.00951107387815854,-0.0129434512181688,0.0411544476476026,0.160325740627296,0.46167994353267,400
"freqB",1000,1,"slope",0.9175,0.0137734761994401,-0.0138990114986173,0.0424882445884575,0.143004736126489,0.322963530464384,400
