"dgp","n","lambda","rho","evo","miss","frac","trait","arm","n_reps","n_cells","ece","ece_mcse"
"types_mixed",1000,1,0.5,"BM","mcar",0.3,"bin","gnn_off_rphylopars",200,60000,0.191255128149279,0.00435791188702633
"types_mixed",100,0.3,0,"BM","mcar",0.3,"bin","gnn_on",200,6000,0.0377256983577796,0.00683104013530565
"types_mixed",300,0.3,0,"BM","mcar",0.3,"bin","gnn_on",200,18000,0.0266133696253048,0.00417699070515553
"types_mixed",1000,0.3,0,"BM","mcar",0.3,"bin","gnn_on",200,60000,0.0216594421599913,0.00324307802518657
"types_mixed",100,0.7,0,"BM","mcar",0.3,"bin","gnn_on",200,6000,0.0337658973498503,0.00616428556659829
"types_mixed",300,0.7,0,"BM","mcar",0.3,"bin","gnn_on",200,18000,0.0486482686209311,0.00541149879440863
"types_mixed",1000,0.7,0,"BM","mcar",0.3,"bin","gnn_on",200,60000,0.050250468317494,0.00398017920636671
"types_mixed",100,1,0,"BM","mcar",0.3,"bin","gnn_on",200,6000,0.113465997291537,0.00734952544762244
"types_mixed",300,1,0,"BM","mcar",0.3,"bin","gnn_on",200,18000,0.158553443834108,0.00538085254506261
"types_mixed",1000,1,0,"BM","mcar",0.3,"bin","gnn_on",200,60000,0.185721329332834,0.00372660432457303
"types_mixed",100,0.3,0.5,"BM","mcar",0.3,"bin","gnn_on",200,6000,0.0393783144521327,0.00723783707976441
"types_mixed",300,0.3,0.5,"BM","mcar",0.3,"bin","gnn_on",200,18000,0.0282063517555798,0.00412429929054517
"types_mixed",1000,0.3,0.5,"BM","mcar",0.3,"bin","gnn_on",200,60000,0.0188628428211218,0.00294061096441172
"types_mixed",100,0.7,0.5,"BM","mcar",0.3,"bin","gnn_on",200,6000,0.0432045182437599,0.00664885011023334
"types_mixed",300,0.7,0.5,"BM","mcar",0.3,"bin","gnn_on",200,18000,0.0455408432009731,0.00513127544310065
"types_mixed",1000,0.7,0.5,"BM","mcar",0.3,"bin","gnn_on",200,60000,0.0612752049583737,0.00470180007402542
"types_mixed",100,1,0.5,"BM","mcar",0.3,"bin","gnn_on",200,6000,0.118830047260069,0.00667848882612796
"types_mixed",300,1,0.5,"BM","mcar",0.3,"bin","gnn_on",200,18000,0.161047510962395,0.00514916554026443
"types_mixed",1000,1,0.5,"BM","mcar",0.3,"bin","gnn_on",200,60000,0.185365845027089,0.0037730966676133
"types_mixed",100,0.3,0,"BM","mcar",0.3,"bin","gnn_on_full",200,6000,0.0376350051594642,0.00650375798083126
"types_mixed",300,0.3,0,"BM","mcar",0.3,"bin","gnn_on_full",200,18000,0.026497049480705,0.00438666909622928
"types_mixed",1000,0.3,0,"BM","mcar",0.3,"bin","gnn_on_full",200,60000,0.022262587974081,0.00329722552040528
"types_mixed",100,0.7,0,"BM","mcar",0.3,"bin","gnn_on_full",200,6000,0.0375550339192623,0.00652980402454288
"types_mixed",300,0.7,0,"BM","mcar",0.3,"bin","gnn_on_full",200,18000,0.0487582778699186,0.00487233354372683
"types_mixed",1000,0.7,0,"BM","mcar",0.3,"bin","gnn_on_full",200,60000,0.0522236102435515,0.00429645541452744
"types_mixed",100,1,0,"BM","mcar",0.3,"bin","gnn_on_full",185,5550,0.1313393004831,0.00728817596776545
"types_mixed",300,1,0,"BM","mcar",0.3,"bin","gnn_on_full",186,16740,0.172744954298121,0.00450578502714742
"types_mixed",1000,1,0,"BM","mcar",0.3,"bin","gnn_on_full",191,57300,0.196352883450152,0.00298716708077534
"types_mixed",100,0.3,0.5,"BM","mcar",0.3,"bin","gnn_on_full",200,6000,0.0399431168533129,0.00723637096729242
"types_mixed",300,0.3,0.5,"BM","mcar",0.3,"bin","gnn_on_full",200,18000,0.0304248409790192,0.00432514846729935
"types_mixed",1000,0.3,0.5,"BM","mcar",0.3,"bin","gnn_on_full",200,60000,0.0187540186837721,0.00291580840971854
"types_mixed",100,0.7,0.5,"BM","mcar",0.3,"bin","gnn_on_full",200,6000,0.043154031200398,0.00669598616288612
"types_mixed",300,0.7,0.5,"BM","mcar",0.3,"bin","gnn_on_full",200,18000,0.0468747617330705,0.00422817099807574
"types_mixed",1000,0.7,0.5,"BM","mcar",0.3,"bin","gnn_on_full",200,60000,0.0602878046916555,0.00436268973070388
"types_mixed",100,1,0.5,"BM","mcar",0.3,"bin","gnn_on_full",183,5490,0.131463520667468,0.00603332865225323
"types_mixed",300,1,0.5,"BM","mcar",0.3,"bin","gnn_on_full",185,16650,0.17732564273744,0.00372727920876833
"types_mixed",1000,1,0.5,"BM","mcar",0.3,"bin","gnn_on_full",193,57900,0.193814360772989,0.00327041113451181
"types_mixed",100,0.3,0,"BM","mcar",0.3,"cat3","bace",100,3000,0.22929182524705,0.00990536982858251
"types_mixed",300,0.3,0,"BM","mcar",0.3,"cat3","bace",100,9000,0.120161111111111,0.00615710086430782
"types_mixed",1000,0.3,0,"BM","mcar",0.3,"cat3","bace",100,30000,0.0907666666666667,0.00358339452511929
"types_mixed",100,0.7,0,"BM","mcar",0.3,"cat3","bace",100,3000,0.183710782820264,0.0102617764045865
"types_mixed",300,0.7,0,"BM","mcar",0.3,"cat3","bace",100,9000,0.0940688825822727,0.0052006714814714
"types_mixed",1000,0.7,0,"BM","mcar",0.3,"cat3","bace",100,30000,0.0569512656641602,0.00364970720135348
"types_mixed",100,1,0,"BM","mcar",0.3,"cat3","bace",100,3000,0.0212465530556475,0.00692080834519652
"types_mixed",300,1,0,"BM","mcar",0.3,"cat3","bace",100,9000,0.0157071236884318,0.00423966595189634
"types_mixed",1000,1,0,"BM","mcar",0.3,"cat3","bace",100,30000,0.00710792936589851,0.00241922168511237
"types_mixed",100,0.3,0.5,"BM","mcar",0.3,"cat3","bace",100,3000,0.229088677941426,0.00955361265708627
"types_mixed",300,0.3,0.5,"BM","mcar",0.3,"cat3","bace",100,9000,0.0975611111111111,0.00531823394054994
"types_mixed",1000,0.3,0.5,"BM","mcar",0.3,"cat3","bace",100,30000,0.0518116666666665,0.00284962058246122
"types_mixed",100,0.7,0.5,"BM","mcar",0.3,"cat3","bace",98,2940,0.147001971058212,0.0104900426958764
"types_mixed",300,0.7,0.5,"BM","mcar",0.3,"cat3","bace",99,8910,0.0759730530525164,0.00570576212114612
"types_mixed",1000,0.7,0.5,"BM","mcar",0.3,"cat3","bace",100,30000,0.0396669047619048,0.00314266097133688
"types_mixed",100,1,0.5,"BM","mcar",0.3,"cat3","bace",100,3000,0.0135596026579773,0.00662231048739491
"types_mixed",300,1,0.5,"BM","mcar",0.3,"cat3","bace",100,9000,0.0133361633197289,0.00333196815909306
"types_mixed",1000,1,0.5,"BM","mcar",0.3,"cat3","bace",100,30000,0.0127870358903795,0.00208329787359612
"types_mixed",100,0.3,0,"BM","mcar",0.3,"cat3","floor",200,6000,0.0362857142857142,0.00637592437702032
"types_mixed",300,0.3,0,"BM","mcar",0.3,"cat3","floor",200,18000,0.0190079365079365,0.00340969730064127
"types_mixed",1000,0.3,0,"BM","mcar",0.3,"cat3","floor",200,60000,0.00782619047619042,0.00175532438143683
"types_mixed",100,0.7,0,"BM","mcar",0.3,"cat3","floor",200,6000,0.0247857142857143,0.00574239730020324
"types_mixed",300,0.7,0,"BM","mcar",0.3,"cat3","floor",200,18000,0.008452380952381,0.00326027950719858
"types_mixed",1000,0.7,0,"BM","mcar",0.3,"cat3","floor",200,60000,0.00550238095238076,0.00187750787166145
"types_mixed",100,1,0,"BM","mcar",0.3,"cat3","floor",200,6000,0.0200238095238095,0.00552015241052267
"types_mixed",300,1,0,"BM","mcar",0.3,"cat3","floor",200,18000,0.00369841269841287,0.00268058103486361
"types_mixed",1000,1,0,"BM","mcar",0.3,"cat3","floor",200,60000,0.00726428571428572,0.00178902278619156
"types_mixed",100,0.3,0.5,"BM","mcar",0.3,"cat3","floor",200,6000,0.0354285714285714,0.00620352554980978
"types_mixed",300,0.3,0.5,"BM","mcar",0.3,"cat3","floor",200,18000,0.0136349206349206,0.00380673445097565
"types_mixed",1000,0.3,0.5,"BM","mcar",0.3,"cat3","floor",200,60000,0.00550238095238094,0.00197097454277133
"types_mixed",100,0.7,0.5,"BM","mcar",0.3,"cat3","floor",200,6060,0.0235973597359737,0.00537128859227444
"types_mixed",300,0.7,0.5,"BM","mcar",0.3,"cat3","floor",200,18090,0.0131201137171287,0.00357405005891557
"types_mixed",1000,0.7,0.5,"BM","mcar",0.3,"cat3","floor",200,60000,0.00545000000000022,0.00156515337548571
"types_mixed",100,1,0.5,"BM","mcar",0.3,"cat3","floor",200,6000,0.0179285714285715,0.00594746037226088
"types_mixed",300,1,0.5,"BM","mcar",0.3,"cat3","floor",200,18000,0.00692857142857146,0.00288833140377641
"types_mixed",1000,1,0.5,"BM","mcar",0.3,"cat3","floor",200,60000,0.00513333333333331,0.00145592506827845
"types_mixed",100,0.3,0,"BM","mcar",0.3,"cat3","freq",200,6000,0.0459550612302708,0.00640338245990236
"types_mixed",300,0.3,0,"BM","mcar",0.3,"cat3","freq",200,18000,0.047436343727823,0.00624952538106176
"types_mixed",1000,0.3,0,"BM","mcar",0.3,"cat3","freq",200,60000,0.0199848273740539,0.00554973463531726
"types_mixed",100,0.7,0,"BM","mcar",0.3,"cat3","freq",200,6000,0.128456818594245,0.00863024207917662
"types_mixed",300,0.7,0,"BM","mcar",0.3,"cat3","freq",200,18000,0.108561040433581,0.00598296873681005
"types_mixed",1000,0.7,0,"BM","mcar",0.3,"cat3","freq",200,60000,0.117345873899849,0.00574506549008349
"types_mixed",100,1,0,"BM","mcar",0.3,"cat3","freq",200,6000,0.0237693886584061,0.00390270213777133
"types_mixed",300,1,0,"BM","mcar",0.3,"cat3","freq",200,18000,0.0147539218849892,0.00186238491914635
"types_mixed",1000,1,0,"BM","mcar",0.3,"cat3","freq",200,60000,0.0123815829664227,0.00112416804455221
"types_mixed",100,0.3,0.5,"BM","mcar",0.3,"cat3","freq",200,6000,0.0639704538955115,0.00581601637455878
"types_mixed",300,0.3,0.5,"BM","mcar",0.3,"cat3","freq",200,18000,0.0414784407716836,0.00530650542566937
"types_mixed",1000,0.3,0.5,"BM","mcar",0.3,"cat3","freq",200,60000,0.023541817704893,0.00524133832006742
"types_mixed",100,0.7,0.5,"BM","mcar",0.3,"cat3","freq",200,6000,0.118134185838868,0.0074735813870358
"types_mixed",300,0.7,0.5,"BM","mcar",0.3,"cat3","freq",200,18000,0.119313854614423,0.00591917777969062
"types_mixed",1000,0.7,0.5,"BM","mcar",0.3,"cat3","freq",200,60000,0.106518531130198,0.00589204948785787
"types_mixed",100,1,0.5,"BM","mcar",0.3,"cat3","freq",200,6000,0.0264802220565261,0.00400544117881289
"types_mixed",300,1,0.5,"BM","mcar",0.3,"cat3","freq",200,18000,0.0147065208879381,0.00178106966416417
"types_mixed",1000,1,0.5,"BM","mcar",0.3,"cat3","freq",200,60000,0.0115489237532845,0.000761290039434462
"types_mixed",100,0.3,0,"BM","mcar",0.3,"cat3","freq_lambda",200,6000,0.0470863939723253,0.00696645876994351
"types_mixed",300,0.3,0,"BM","mcar",0.3,"cat3","freq_lambda",200,18000,0.0460757544115562,0.00628067248220407
"types_mixed",1000,0.3,0,"BM","mcar",0.3,"cat3","freq_lambda",200,60000,0.0210263999152393,0.00536677877096148
"types_mixed",100,0.7,0,"BM","mcar",0.3,"cat3","freq_lambda",200,6000,0.12638525672218,0.00894962868698163
"types_mixed",300,0.7,0,"BM","mcar",0.3,"cat3","freq_lambda",200,18000,0.11060237870887,0.00591329605137064
"types_mixed",1000,0.7,0,"BM","mcar",0.3,"cat3","freq_lambda",200,60000,0.118912006022561,0.00583937198848639
"types_mixed",100,1,0,"BM","mcar",0.3,"cat3","freq_lambda",200,6000,0.0236103428787936,0.00380589461706866
"types_mixed",300,1,0,"BM","mcar",0.3,"cat3","freq_lambda",200,18000,0.0147563235127582,0.0019411988657193
"types_mixed",1000,1,0,"BM","mcar",0.3,"cat3","freq_lambda",200,60000,0.0123724080087468,0.00103880756907878
"types_mixed",100,0.3,0.5,"BM","mcar",0.3,"cat3","freq_lambda",200,6000,0.0655314747812406,0.00674587288949507
"types_mixed",300,0.3,0.5,"BM","mcar",0.3,"cat3","freq_lambda",200,18000,0.0387675965429433,0.00557988970100059
"types_mixed",1000,0.3,0.5,"BM","mcar",0.3,"cat3","freq_lambda",200,60000,0.0232983934845071,0.00503712744065987
"types_mixed",100,0.7,0.5,"BM","mcar",0.3,"cat3","freq_lambda",200,6000,0.112427156869827,0.0066269831181701
"types_mixed",300,0.7,0.5,"BM","mcar",0.3,"cat3","freq_lambda",200,18000,0.11825420565271,0.00630181229076191
"types_mixed",1000,0.7,0.5,"BM","mcar",0.3,"cat3","freq_lambda",200,60000,0.105288116724749,0.0060054338865605
"types_mixed",100,1,0.5,"BM","mcar",0.3,"cat3","freq_lambda",200,6000,0.0268293035894111,0.00407625239875502
"types_mixed",300,1,0.5,"BM","mcar",0.3,"cat3","freq_lambda",200,18000,0.0147144780833826,0.00199657119763771
"types_mixed",1000,1,0.5,"BM","mcar",0.3,"cat3","freq_lambda",200,60000,0.0115472611259895,0.000839918473128243
"types_mixed",100,0.3,0,"BM","mcar",0.3,"cat3","gnn_off",200,6000,0.105426738202535,0.00757945014251003
"types_mixed",300,0.3,0,"BM","mcar",0.3,"cat3","gnn_off",200,18000,0.0845685622329846,0.0059335518947131
