"dgp","n","lambda","rho","evo","miss","frac","trait","metric","arm","reference","n_common_seeds","mean_diff","mcse_diff"
"types_mixed",300,1,0.5,"BM","mcar",0.3,"bin","accuracy","gnn_on_full","freq",185,-0.00282282282282282,0.00151525234973488
"types_mixed",300,1,0.5,"BM","mcar",0.3,"bin","accuracy","gnn_on","freq",200,-0.00694444444444444,0.00154835515470196
"types_mixed",300,1,0.5,"BM","mcar",0.3,"bin","accuracy","floor","freq",200,-0.221388888888889,0.00995832793091299
"types_mixed",300,1,0.5,"BM","mcar",0.3,"bin","accuracy","gnn_off_rphylopars","freq",200,-0.00327777777777778,0.00159057162965515
"types_mixed",300,1,0.5,"BM","mcar",0.3,"bin","accuracy","gnn_off","freq",200,-0.00261111111111111,0.00140231367847285
"types_mixed",1000,1,0.5,"BM","mcar",0.3,"bin","accuracy","freq_lambda","freq",200,-1.66666666666665e-05,1.66666666666665e-05
"types_mixed",1000,1,0.5,"BM","mcar",0.3,"bin","accuracy","bace","freq",100,-0.0924666666666667,0.0153190989411298
"types_mixed",1000,1,0.5,"BM","mcar",0.3,"bin","accuracy","floor","freq",200,-0.245483333333333,0.0109370795125362
"types_mixed",1000,1,0.5,"BM","mcar",0.3,"bin","accuracy","gnn_off_rphylopars","freq",200,-0.000450000000000003,0.00028026220075588
"types_mixed",1000,1,0.5,"BM","mcar",0.3,"bin","accuracy","gnn_on","freq",200,-0.00311666666666667,0.000528937865174128
"types_mixed",1000,1,0.5,"BM","mcar",0.3,"bin","accuracy","gnn_on_full","freq",193,-0.00070811744386874,0.000430571859117247
"types_mixed",1000,1,0.5,"BM","mcar",0.3,"bin","accuracy","gnn_off","freq",200,-0.000883333333333335,0.000428908929616861
"types_mixed",100,0.3,0,"BM","mcar",0.3,"cat3","accuracy","gnn_on_full","freq",200,0.0796666666666667,0.00999382835796496
"types_mixed",100,0.3,0,"BM","mcar",0.3,"cat3","accuracy","bace","freq",100,0.133333333333333,0.0125081342781444
"types_mixed",100,0.3,0,"BM","mcar",0.3,"cat3","accuracy","gnn_on","freq",200,0.0798333333333333,0.0100498408975409
"types_mixed",100,0.3,0,"BM","mcar",0.3,"cat3","accuracy","gnn_off","freq",200,0.079,0.00997850845229085
"types_mixed",100,0.3,0,"BM","mcar",0.3,"cat3","accuracy","gnn_off_rphylopars","freq",200,0.0795,0.0100547843280631
"types_mixed",100,0.3,0,"BM","mcar",0.3,"cat3","accuracy","floor","freq",200,0.0726666666666667,0.0103640059170573
"types_mixed",100,0.3,0,"BM","mcar",0.3,"cat3","accuracy","freq_lambda","freq",200,0.0106666666666667,0.00732800171649104
"types_mixed",300,0.3,0,"BM","mcar",0.3,"cat3","accuracy","bace","freq",100,0.153333333333333,0.00863122627965805
"types_mixed",300,0.3,0,"BM","mcar",0.3,"cat3","accuracy","freq_lambda","freq",200,-0.00027777777777778,0.00439068371445323
"types_mixed",300,0.3,0,"BM","mcar",0.3,"cat3","accuracy","gnn_on","freq",200,0.0851111111111111,0.00741744899125114
"types_mixed",300,0.3,0,"BM","mcar",0.3,"cat3","accuracy","gnn_on_full","freq",200,0.0848888888888889,0.00745440885835409
"types_mixed",300,0.3,0,"BM","mcar",0.3,"cat3","accuracy","gnn_off","freq",200,0.0838888888888889,0.00744846012845967
"types_mixed",300,0.3,0,"BM","mcar",0.3,"cat3","accuracy","gnn_off_rphylopars","freq",200,0.083,0.00745809893036191
"types_mixed",300,0.3,0,"BM","mcar",0.3,"cat3","accuracy","floor","freq",200,0.0783333333333333,0.00770837263132522
"types_mixed",1000,0.3,0,"BM","mcar",0.3,"cat3","accuracy","gnn_on","freq",200,0.0997166666666667,0.00581459193247043
"types_mixed",1000,0.3,0,"BM","mcar",0.3,"cat3","accuracy","gnn_off","freq",200,0.0997833333333333,0.00571821452788671
"types_mixed",1000,0.3,0,"BM","mcar",0.3,"cat3","accuracy","gnn_off_rphylopars","freq",200,0.0997333333333333,0.00585061379190624
"types_mixed",1000,0.3,0,"BM","mcar",0.3,"cat3","accuracy","floor","freq",200,0.09535,0.00607421518988977
"types_mixed",1000,0.3,0,"BM","mcar",0.3,"cat3","accuracy","bace","freq",100,0.182433333333333,0.0066350859738991
"types_mixed",1000,0.3,0,"BM","mcar",0.3,"cat3","accuracy","freq_lambda","freq",200,0.000149999999999997,0.00290557690718999
"types_mixed",1000,0.3,0,"BM","mcar",0.3,"cat3","accuracy","gnn_on_full","freq",200,0.0999666666666667,0.00569830511500536
"types_mixed",100,0.7,0,"BM","mcar",0.3,"cat3","accuracy","bace","freq",100,0.0836666666666667,0.0138736886519977
"types_mixed",100,0.7,0,"BM","mcar",0.3,"cat3","accuracy","gnn_off","freq",200,0.0381666666666667,0.0102818936331503
"types_mixed",100,0.7,0,"BM","mcar",0.3,"cat3","accuracy","floor","freq",200,-0.006,0.0116091186555038
"types_mixed",100,0.7,0,"BM","mcar",0.3,"cat3","accuracy","gnn_on","freq",200,0.034,0.0103240624105347
"types_mixed",100,0.7,0,"BM","mcar",0.3,"cat3","accuracy","freq_lambda","freq",200,0.00916666666666667,0.00596817120733164
"types_mixed",100,0.7,0,"BM","mcar",0.3,"cat3","accuracy","gnn_on_full","freq",200,0.0378333333333333,0.0103799335575354
"types_mixed",100,0.7,0,"BM","mcar",0.3,"cat3","accuracy","gnn_off_rphylopars","freq",200,0.026,0.0100450131520022
"types_mixed",300,0.7,0,"BM","mcar",0.3,"cat3","accuracy","freq_lambda","freq",200,0.00133333333333333,0.00302045470040248
"types_mixed",300,0.7,0,"BM","mcar",0.3,"cat3","accuracy","bace","freq",100,0.113555555555556,0.0113921582452568
