"dgp","n","arm","trait","metric","n_seeds","mean","mcse","coverage","coverage_mcse"
"types_mixed",1000,"bace","c2","interval_score",580,3.84590219564758,0.0958540352742764,NA,NA
"types_mixed",100,"floor","c2","interval_score",1200,NA,NA,NA,NA
"types_mixed",300,"floor","c2","interval_score",1200,NA,NA,NA,NA
"types_mixed",1000,"floor","c2","interval_score",1200,NA,NA,NA,NA
"types_mixed",100,"freq","c2","interval_score",1200,6.65733755447482,0.142590250340915,NA,NA
"types_mixed",300,"freq","c2","interval_score",1200,6.26307393515107,0.131753097951246,NA,NA
"types_mixed",1000,"freq","c2","interval_score",1200,5.97337234214644,0.126055225653727,NA,NA
"types_mixed",100,"freq_lambda","c2","interval_score",1200,2.89530065252758,0.0474025957962427,NA,NA
"types_mixed",300,"freq_lambda","c2","interval_score",1200,2.59251806230086,0.0438929794542953,NA,NA
"types_mixed",1000,"freq_lambda","c2","interval_score",1200,2.39103693769801,0.0446087199408534,NA,NA
"types_mixed",100,"gnn_off","c2","interval_score",1200,4.55053348942764,0.0850114144590974,NA,NA
"types_mixed",300,"gnn_off","c2","interval_score",1200,3.54706655358055,0.0529339193373423,NA,NA
"types_mixed",1000,"gnn_off","c2","interval_score",1200,3.04098035562471,0.0526795591540283,NA,NA
"types_mixed",100,"gnn_off_rphylopars","c2","interval_score",1200,4.48732197580917,0.0866024568905306,NA,NA
"types_mixed",300,"gnn_off_rphylopars","c2","interval_score",1200,3.48976932080047,0.0528850254322662,NA,NA
"types_mixed",1000,"gnn_off_rphylopars","c2","interval_score",1200,2.93555521766331,0.0514945711620376,NA,NA
"types_mixed",100,"gnn_on","c2","interval_score",1200,4.6440642933102,0.0848856471304644,NA,NA
"types_mixed",300,"gnn_on","c2","interval_score",1200,3.61303419266889,0.0523033089882659,NA,NA
"types_mixed",1000,"gnn_on","c2","interval_score",1200,3.09801872460567,0.0519501752001835,NA,NA
"types_mixed",100,"gnn_on_full","c2","interval_score",1168,4.57594983170287,0.0858611881048698,NA,NA
"types_mixed",300,"gnn_on_full","c2","interval_score",1171,3.58405747495871,0.0531856157214819,NA,NA
"types_mixed",1000,"gnn_on_full","c2","interval_score",1184,3.08167820479746,0.0529274000650871,NA,NA
"types_mixed",100,"bace","cnt","interval_score",597,6.22190817164232,0.157733921833683,NA,NA
"types_mixed",300,"bace","cnt","interval_score",599,4.96153603149196,0.0836007310726204,NA,NA
"types_mixed",1000,"bace","cnt","interval_score",580,4.70754658441492,0.0567877491510733,NA,NA
"types_mixed",100,"floor","cnt","interval_score",1200,NA,NA,NA,NA
"types_mixed",300,"floor","cnt","interval_score",1200,NA,NA,NA,NA
"types_mixed",1000,"floor","cnt","interval_score",1200,NA,NA,NA,NA
"types_mixed",100,"freq","cnt","interval_score",1200,9.01004573272339,0.150963100284505,NA,NA
"types_mixed",300,"freq","cnt","interval_score",1200,8.09044114150943,0.0974211854171846,NA,NA
"types_mixed",1000,"freq","cnt","interval_score",1200,8.40345500783103,0.0893770151220806,NA,NA
"types_mixed",100,"freq_lambda","cnt","interval_score",1200,9.01004573272339,0.150963100284505,NA,NA
"types_mixed",300,"freq_lambda","cnt","interval_score",1200,8.09044114150943,0.0974211854171846,NA,NA
"types_mixed",1000,"freq_lambda","cnt","interval_score",1200,8.40345500783103,0.0893770151220806,NA,NA
"types_mixed",100,"gnn_off","cnt","interval_score",1200,6.33618051128894,0.106518222689368,NA,NA
"types_mixed",300,"gnn_off","cnt","interval_score",1200,5.6388024697293,0.0578748902784225,NA,NA
"types_mixed",1000,"gnn_off","cnt","interval_score",1200,4.84232850974012,0.0298061509111533,NA,NA
"types_mixed",100,"gnn_off_rphylopars","cnt","interval_score",1200,4.6227783763784e+20,4.62277837637848e+20,NA,NA
"types_mixed",300,"gnn_off_rphylopars","cnt","interval_score",1200,353277.324699198,353271.3508839,NA,NA
"types_mixed",1000,"gnn_off_rphylopars","cnt","interval_score",1200,5.25879256314013,0.220964811074754,NA,NA
"types_mixed",100,"gnn_on","cnt","interval_score",1200,6.35386862548693,0.110203059011494,NA,NA
"types_mixed",300,"gnn_on","cnt","interval_score",1200,5.63686161011884,0.0575910568301488,NA,NA
"types_mixed",1000,"gnn_on","cnt","interval_score",1200,4.9056724822332,0.0303946202795488,NA,NA
"types_mixed",100,"gnn_on_full","cnt","interval_score",1168,6.35896503392645,0.109688483820178,NA,NA
"types_mixed",300,"gnn_on_full","cnt","interval_score",1171,5.63893915019347,0.058233766426104,NA,NA
"types_mixed",1000,"gnn_on_full","cnt","interval_score",1184,4.90548654852473,0.0304045372661137,NA,NA
"types_mixed",100,"bace","prp","interval_score",597,5.15749527795503,0.0969912658071057,NA,NA
"types_mixed",300,"bace","prp","interval_score",599,4.44287859978801,0.0636291591369701,NA,NA
"types_mixed",1000,"bace","prp","interval_score",580,4.3249857291568,0.0519038812986372,NA,NA
"types_mixed",100,"floor","prp","interval_score",1200,NA,NA,NA,NA
"types_mixed",300,"floor","prp","interval_score",1200,NA,NA,NA,NA
"types_mixed",1000,"floor","prp","interval_score",1200,NA,NA,NA,NA
"types_mixed",100,"freq","prp","interval_score",1200,6.84886439630946,0.0967263773527732,NA,NA
"types_mixed",300,"freq","prp","interval_score",1200,6.09263947468247,0.0569750339861342,NA,NA
"types_mixed",1000,"freq","prp","interval_score",1200,5.64876377311496,0.0401250840447694,NA,NA
"types_mixed",100,"freq_lambda","prp","interval_score",1200,3.56261541500944,0.0360006229797563,NA,NA
"types_mixed",300,"freq_lambda","prp","interval_score",1200,3.39588189771309,0.0252683049985408,NA,NA
"types_mixed",1000,"freq_lambda","prp","interval_score",1200,3.29118937004317,0.0194467051652733,NA,NA
"types_mixed",100,"gnn_off","prp","interval_score",1200,4.53959345248862,0.0734533820274352,NA,NA
"types_mixed",300,"gnn_off","prp","interval_score",1200,3.68752125309322,0.0273385760772938,NA,NA
"types_mixed",1000,"gnn_off","prp","interval_score",1200,3.43829522391577,0.0238972343524463,NA,NA
"types_mixed",100,"gnn_off_rphylopars","prp","interval_score",1200,4.99085778144136,0.0862987625380085,NA,NA
"types_mixed",300,"gnn_off_rphylopars","prp","interval_score",1200,3.9509643902736,0.033070662747798,NA,NA
"types_mixed",1000,"gnn_off_rphylopars","prp","interval_score",1200,3.55577930503606,0.0242060568980249,NA,NA
"types_mixed",100,"gnn_on","prp","interval_score",1200,4.59632914998973,0.0760529665023926,NA,NA
"types_mixed",300,"gnn_on","prp","interval_score",1200,3.70061810830495,0.0281098144787258,NA,NA
"types_mixed",1000,"gnn_on","prp","interval_score",1200,3.45469653239281,0.0243638246459148,NA,NA
"types_mixed",100,"gnn_on_full","prp","interval_score",1168,4.53178375330586,0.0736343026062582,NA,NA
"types_mixed",300,"gnn_on_full","prp","interval_score",1171,3.70255244337293,0.0283031088245965,NA,NA
"types_mixed",1000,"gnn_on_full","prp","interval_score",1184,3.45435372507781,0.0243596361974225,NA,NA
"types_mixed",100,"bace","bin","macroF1",597,0.670173783417536,0.00747016520541666,NA,NA
"types_mixed",300,"bace","bin","macroF1",599,0.704189513661599,0.00711619514180035,NA,NA
"types_mixed",1000,"bace","bin","macroF1",580,0.740367152009394,0.0071979766865654,NA,NA
"types_mixed",100,"floor","bin","macroF1",1200,0.417153959407423,0.00389982467401932,NA,NA
"types_mixed",300,"floor","bin","macroF1",1200,0.419789452386796,0.00334678856075548,NA,NA
"types_mixed",1000,"floor","bin","macroF1",1200,0.411395435102069,0.0025315894165372,NA,NA
"types_mixed",100,"freq","bin","macroF1",1200,0.690542870321858,0.0062493303738364,NA,NA
"types_mixed",300,"freq","bin","macroF1",1200,0.700893261646449,0.00615392637843171,NA,NA
"types_mixed",1000,"freq","bin","macroF1",1200,0.718045074474393,0.00604212979566558,NA,NA
"types_mixed",100,"freq_lambda","bin","macroF1",1200,0.693067339784292,0.00617547840918298,NA,NA
"types_mixed",300,"freq_lambda","bin","macroF1",1200,0.701768232331215,0.00613680766092053,NA,NA
"types_mixed",1000,"freq_lambda","bin","macroF1",1200,0.718232012761239,0.00602903717602657,NA,NA
"types_mixed",100,"gnn_off","bin","macroF1",1200,0.588579676091493,0.00726354142440483,NA,NA
"types_mixed",300,"gnn_off","bin","macroF1",1200,0.649478339243572,0.00726428501169905,NA,NA
"types_mixed",1000,"gnn_off","bin","macroF1",1200,0.679218295796298,0.00707489225361357,NA,NA
"types_mixed",100,"gnn_off_rphylopars","bin","macroF1",1200,0.578362489744931,0.00718108987806279,NA,NA
"types_mixed",300,"gnn_off_rphylopars","bin","macroF1",1200,0.636956529350083,0.00732226906454574,NA,NA
"types_mixed",1000,"gnn_off_rphylopars","bin","macroF1",1200,0.674653411145311,0.00709913871079248,NA,NA
"types_mixed",100,"gnn_on","bin","macroF1",1200,0.587674693380827,0.00717214749661249,NA,NA
"types_mixed",300,"gnn_on","bin","macroF1",1200,0.648767324468677,0.00719997894111041,NA,NA
