"dgp","n","lambda","rho","evo","miss","frac","arm","trait","metric","reps","mean","mcse"
"types_mixed",1000,0.7,0.5,"BM","mcar",0.3,"bace","cat3","accuracy",90,0.690333333333333,0.00951144625869428
"types_mixed",100,1,0.5,"BM","mcar",0.3,"bace","cat3","accuracy",100,0.744333333333333,0.0190754600522899
"types_mixed",300,1,0.5,"BM","mcar",0.3,"bace","cat3","accuracy",100,0.803888888888889,0.0197233484764019
"types_mixed",1000,1,0.5,"BM","mcar",0.3,"bace","cat3","accuracy",100,0.8328,0.0187500973435558
"types_mixed",100,0.3,0,"BM","mcar",0.3,"floor","cat3","accuracy",200,0.432,0.0092028447037913
"types_mixed",300,0.3,0,"BM","mcar",0.3,"floor","cat3","accuracy",200,0.457,0.00846574864119144
"types_mixed",1000,0.3,0,"BM","mcar",0.3,"floor","cat3","accuracy",200,0.45065,0.00666845442947204
"types_mixed",100,0.7,0,"BM","mcar",0.3,"floor","cat3","accuracy",200,0.518166666666667,0.0109839675560298
"types_mixed",300,0.7,0,"BM","mcar",0.3,"floor","cat3","accuracy",200,0.556777777777778,0.0113573469332791
"types_mixed",1000,0.7,0,"BM","mcar",0.3,"floor","cat3","accuracy",200,0.54265,0.0097569942986699
"types_mixed",100,1,0,"BM","mcar",0.3,"floor","cat3","accuracy",200,0.606833333333333,0.0133109055510321
"types_mixed",300,1,0,"BM","mcar",0.3,"floor","cat3","accuracy",200,0.626666666666667,0.0127179796602341
"types_mixed",1000,1,0,"BM","mcar",0.3,"floor","cat3","accuracy",200,0.628283333333333,0.011739209200935
"types_mixed",100,0.3,0.5,"BM","mcar",0.3,"floor","cat3","accuracy",200,0.4325,0.00964309347743911
"types_mixed",300,0.3,0.5,"BM","mcar",0.3,"floor","cat3","accuracy",200,0.450388888888889,0.00819487715217119
"types_mixed",1000,0.3,0.5,"BM","mcar",0.3,"floor","cat3","accuracy",200,0.457716666666667,0.00662067795661807
"types_mixed",100,0.7,0.5,"BM","mcar",0.3,"floor","cat3","accuracy",200,0.53,0.0119672921081592
"types_mixed",300,0.7,0.5,"BM","mcar",0.3,"floor","cat3","accuracy",200,0.552777777777778,0.0105998365914407
"types_mixed",1000,0.7,0.5,"BM","mcar",0.3,"floor","cat3","accuracy",200,0.539316666666667,0.0094031635593891
"types_mixed",100,1,0.5,"BM","mcar",0.3,"floor","cat3","accuracy",200,0.619666666666667,0.0133148741568785
"types_mixed",300,1,0.5,"BM","mcar",0.3,"floor","cat3","accuracy",200,0.632055555555556,0.0121384820998782
"types_mixed",1000,1,0.5,"BM","mcar",0.3,"floor","cat3","accuracy",200,0.618233333333333,0.0115031107874759
"types_mixed",100,0.3,0,"BM","mcar",0.3,"freq","cat3","accuracy",200,0.359333333333333,0.00855618276686057
"types_mixed",300,0.3,0,"BM","mcar",0.3,"freq","cat3","accuracy",200,0.378666666666667,0.00732822182821124
"types_mixed",1000,0.3,0,"BM","mcar",0.3,"freq","cat3","accuracy",200,0.3553,0.00465781584699792
"types_mixed",100,0.7,0,"BM","mcar",0.3,"freq","cat3","accuracy",200,0.524166666666667,0.0139492129382583
"types_mixed",300,0.7,0,"BM","mcar",0.3,"freq","cat3","accuracy",200,0.546,0.0132750540952603
"types_mixed",1000,0.7,0,"BM","mcar",0.3,"freq","cat3","accuracy",200,0.529183333333333,0.0125100628953658
"types_mixed",100,1,0,"BM","mcar",0.3,"freq","cat3","accuracy",200,0.899,0.0077254320520501
"types_mixed",300,1,0,"BM","mcar",0.3,"freq","cat3","accuracy",200,0.933,0.00645336701096986
"types_mixed",1000,1,0,"BM","mcar",0.3,"freq","cat3","accuracy",200,0.955166666666667,0.00632975081607758
"types_mixed",100,0.3,0.5,"BM","mcar",0.3,"freq","cat3","accuracy",200,0.382666666666667,0.00846037170857381
"types_mixed",300,0.3,0.5,"BM","mcar",0.3,"freq","cat3","accuracy",200,0.364,0.00667840024560978
"types_mixed",1000,0.3,0.5,"BM","mcar",0.3,"freq","cat3","accuracy",200,0.356783333333333,0.00464816729912421
"types_mixed",100,0.7,0.5,"BM","mcar",0.3,"freq","cat3","accuracy",200,0.5335,0.0142825783229461
"types_mixed",300,0.7,0.5,"BM","mcar",0.3,"freq","cat3","accuracy",200,0.534333333333333,0.0125560200128538
"types_mixed",1000,0.7,0.5,"BM","mcar",0.3,"freq","cat3","accuracy",200,0.522016666666667,0.0123350059416331
"types_mixed",100,1,0.5,"BM","mcar",0.3,"freq","cat3","accuracy",200,0.891,0.00814685834841814
"types_mixed",300,1,0.5,"BM","mcar",0.3,"freq","cat3","accuracy",200,0.938777777777778,0.0056721380183413
"types_mixed",1000,1,0.5,"BM","mcar",0.3,"freq","cat3","accuracy",200,0.964483333333333,0.00461527078897992
"types_mixed",100,0.3,0,"BM","mcar",0.3,"freq_lambda","cat3","accuracy",200,0.37,0.00885076974447948
"types_mixed",300,0.3,0,"BM","mcar",0.3,"freq_lambda","cat3","accuracy",200,0.378388888888889,0.00713904232411744
"types_mixed",1000,0.3,0,"BM","mcar",0.3,"freq_lambda","cat3","accuracy",200,0.35545,0.00494425527715477
"types_mixed",100,0.7,0,"BM","mcar",0.3,"freq_lambda","cat3","accuracy",200,0.533333333333333,0.0137781740185452
"types_mixed",300,0.7,0,"BM","mcar",0.3,"freq_lambda","cat3","accuracy",200,0.547333333333333,0.0132776708970605
"types_mixed",1000,0.7,0,"BM","mcar",0.3,"freq_lambda","cat3","accuracy",200,0.5259,0.0127328279605395
"types_mixed",100,1,0,"BM","mcar",0.3,"freq_lambda","cat3","accuracy",200,0.898833333333333,0.00771989207621076
"types_mixed",300,1,0,"BM","mcar",0.3,"freq_lambda","cat3","accuracy",200,0.933,0.00645336701096986
"types_mixed",1000,1,0,"BM","mcar",0.3,"freq_lambda","cat3","accuracy",200,0.955183333333333,0.00632979260542508
"types_mixed",100,0.3,0.5,"BM","mcar",0.3,"freq_lambda","cat3","accuracy",200,0.366833333333333,0.00851476695402799
"types_mixed",300,0.3,0.5,"BM","mcar",0.3,"freq_lambda","cat3","accuracy",200,0.364,0.00635910690157386
"types_mixed",1000,0.3,0.5,"BM","mcar",0.3,"freq_lambda","cat3","accuracy",200,0.35255,0.00480827138976965
"types_mixed",100,0.7,0.5,"BM","mcar",0.3,"freq_lambda","cat3","accuracy",200,0.541833333333333,0.0138972007512803
"types_mixed",300,0.7,0.5,"BM","mcar",0.3,"freq_lambda","cat3","accuracy",200,0.535166666666667,0.0125672772300224
"types_mixed",1000,0.7,0.5,"BM","mcar",0.3,"freq_lambda","cat3","accuracy",200,0.522366666666667,0.0123302225693503
"types_mixed",100,1,0.5,"BM","mcar",0.3,"freq_lambda","cat3","accuracy",200,0.890833333333333,0.00815791073361854
"types_mixed",300,1,0.5,"BM","mcar",0.3,"freq_lambda","cat3","accuracy",200,0.938888888888889,0.00566502970630327
"types_mixed",1000,1,0.5,"BM","mcar",0.3,"freq_lambda","cat3","accuracy",200,0.964483333333333,0.00461527078897992
"types_mixed",100,0.3,0,"BM","mcar",0.3,"gnn_off","cat3","accuracy",200,0.438333333333333,0.00899391816344606
"types_mixed",300,0.3,0,"BM","mcar",0.3,"gnn_off","cat3","accuracy",200,0.462555555555556,0.00823280514697912
"types_mixed",1000,0.3,0,"BM","mcar",0.3,"gnn_off","cat3","accuracy",200,0.455083333333333,0.00649343341803386
