"job_id","cell_id","rep","missing_mechanism","g6_mar_label","family","n_species","phylo_lambda","miss_frac","seed","candidate_sha","driver_sha","hostname","lambda_mode","fit_ok","fit_sec","blend_loss","baseline_loss","paired_delta","r_cal_gnn_mean","gate_open_frac","floor_fired","error"
238,238,1,"MNAR",FALSE,"F2",300,1,0.5,53801,"6fddd79","HEAD","totoro","fixed_1",TRUE,80.741,0.777620490700915,0.778754932962061,-0.00113444226114545,0.2,0.25,FALSE,NA
239,239,1,"MNAR",FALSE,"F3",300,1,0.5,53901,"6fddd79","HEAD","totoro","fixed_1",TRUE,79.046,0.500548007228049,0.367214672935111,0.133333334292937,0,0,TRUE,NA
240,240,1,"MNAR",FALSE,"F1",1000,1,0.5,54001,"6fddd79","HEAD","totoro","fixed_1",TRUE,270.579,0.470521942305215,0.470557074859114,-3.51325538983094e-05,0.1,0.25,FALSE,NA
241,241,1,"MNAR",FALSE,"F2",1000,1,0.5,54101,"6fddd79","HEAD","totoro","fixed_1",TRUE,255.385,0.610013754015875,0.61400674827191,-0.0039929942560355,0.25,0.25,FALSE,NA
242,242,1,"MNAR",FALSE,"F3",1000,1,0.5,54201,"6fddd79","HEAD","totoro","fixed_1",TRUE,256.963,0.473788622311533,0.479133975851963,-0.00534535354042937,0.116666666666667,0.166666666666667,FALSE,NA
405,162,2,"MNAR",FALSE,"F1",100,0.2,0.1,46202,"6fddd79","HEAD","totoro","fixed_1",TRUE,64.036,1.11012149902584,1.12736913921883,-0.0172476401929884,0,0,TRUE,NA
406,163,2,"MNAR",FALSE,"F2",100,0.2,0.1,46302,"6fddd79","HEAD","totoro","fixed_1",TRUE,67.291,1.11072198858112,1.10657152159464,0.00415046698647337,0,0,TRUE,NA
407,164,2,"MNAR",FALSE,"F3",100,0.2,0.1,46402,"6fddd79","HEAD","totoro","fixed_1",TRUE,65.339,0.790043828632378,0.757774544350494,0.0322692842818844,0.0666666666666667,0.166666666666667,TRUE,NA
408,165,2,"MNAR",FALSE,"F1",300,0.2,0.1,46502,"6fddd79","HEAD","totoro","fixed_1",TRUE,89.677,0.999629753631107,1.01011799196034,-0.0104882383292353,0.375,0.5,FALSE,NA
409,166,2,"MNAR",FALSE,"F2",300,0.2,0.1,46602,"6fddd79","HEAD","totoro","fixed_1",TRUE,89.273,0.886645538539182,0.953554074582804,-0.0669085360436212,0.75,0.75,TRUE,NA
410,167,2,"MNAR",FALSE,"F3",300,0.2,0.1,46702,"6fddd79","HEAD","totoro","fixed_1",TRUE,95.256,0.76500010851209,0.770877851266846,-0.00587774275475628,0,0,TRUE,NA
411,168,2,"MNAR",FALSE,"F1",1000,0.2,0.1,46802,"6fddd79","HEAD","totoro","fixed_1",TRUE,457.19,0.959106183507112,0.963358577523167,-0.00425239401605471,0.25,0.25,FALSE,NA
412,169,2,"MNAR",FALSE,"F2",1000,0.2,0.1,46902,"6fddd79","HEAD","totoro","fixed_1",TRUE,450.363,0.958424133279623,0.987684289188835,-0.0292601559092122,0.4875,0.5,FALSE,NA
413,170,2,"MNAR",FALSE,"F3",1000,0.2,0.1,47002,"6fddd79","HEAD","totoro","fixed_1",TRUE,484.87,0.779558170317725,0.781385848784488,-0.00182767846676313,0,0,FALSE,NA
414,171,2,"MNAR",FALSE,"F1",100,0.5,0.1,47102,"6fddd79","HEAD","totoro","fixed_1",TRUE,68.41,0.949639127438044,0.900767403387602,0.0488717240504423,0.25,0.25,TRUE,NA
415,172,2,"MNAR",FALSE,"F2",100,0.5,0.1,47202,"6fddd79","HEAD","totoro","fixed_1",TRUE,66.556,0.87986402410858,0.95885546262607,-0.0789914385174907,0.75,0.75,FALSE,NA
416,173,2,"MNAR",FALSE,"F3",100,0.5,0.1,47302,"6fddd79","HEAD","totoro","fixed_1",TRUE,69.058,0.751685777625147,0.609324663764132,0.142361113861015,0,0,TRUE,NA
417,174,2,"MNAR",FALSE,"F1",300,0.5,0.1,47402,"6fddd79","HEAD","totoro","fixed_1",TRUE,87.693,0.909494723612541,0.891375910662082,0.0181188129504586,0.25,0.25,FALSE,NA
418,175,2,"MNAR",FALSE,"F2",300,0.5,0.1,47502,"6fddd79","HEAD","totoro","fixed_1",TRUE,84.59,0.924154865837047,1.03143779152613,-0.107282925689078,0.5,0.5,FALSE,NA
419,176,2,"MNAR",FALSE,"F3",300,0.5,0.1,47602,"6fddd79","HEAD","totoro","fixed_1",TRUE,84.275,0.579351150046611,0.593636864664445,-0.0142857146178339,0.0333333333333333,0.166666666666667,FALSE,NA
420,177,2,"MNAR",FALSE,"F1",1000,0.5,0.1,47702,"6fddd79","HEAD","totoro","fixed_1",TRUE,511.49,0.863301456353693,0.863301457284539,-9.3084517871489e-10,0,0,FALSE,NA
421,178,2,"MNAR",FALSE,"F2",1000,0.5,0.1,47802,"6fddd79","HEAD","totoro","fixed_1",TRUE,494.469,0.788790295771515,0.819038466419249,-0.0302481706477343,0.5,0.5,FALSE,NA
422,179,2,"MNAR",FALSE,"F3",1000,0.5,0.1,47902,"6fddd79","HEAD","totoro","fixed_1",TRUE,506.597,0.62940650312966,0.629406503818442,-6.88782586522052e-10,0,0,FALSE,NA
423,180,2,"MNAR",FALSE,"F1",100,1,0.1,48002,"6fddd79","HEAD","totoro","fixed_1",TRUE,68.492,0.562803575907222,0.560996024011725,0.00180755189549675,0.109375,0.25,FALSE,NA
