"missing_mechanism","family","n_species","phylo_lambda","miss_frac","n_rep","n_fail","mean_delta","mcse","mean_r_cal_gnn","frac_gate_open"
"MNAR","F3",1000,1,0.3,30,0,3.92867406635536e-05,0.0021282224101792,0.0385672514619883,0.116666666666667
"MNAR","F1",100,0.2,0.5,30,0,0.0087997247994302,0.00784655684918648,0.143508771929825,0.175
"MNAR","F2",100,0.2,0.5,30,0,-0.0182503012613776,0.00876115730604436,0.191811647173489,0.208333333333333
"MNAR","F3",100,0.2,0.5,30,0,-0.00721283464128336,0.00941295145535658,0.0222222222222222,0.0222222222222222
"MNAR","F1",300,0.2,0.5,30,0,0.00182578473655596,0.00230460964760178,0.222041910331384,0.258333333333333
"MNAR","F2",300,0.2,0.5,30,0,-0.0231134998409994,0.0059392606590345,0.356955128205128,0.4
"MNAR","F3",300,0.2,0.5,30,0,-0.0148265754233388,0.00426760751682477,0.0452777777777778,0.05
"MNAR","F1",1000,0.2,0.5,30,0,0.000934050438956942,0.00127057950507187,0.210041771094403,0.25
"MNAR","F2",1000,0.2,0.5,30,0,-0.0253560581201571,0.00342344317690157,0.5125,0.533333333333333
"MNAR","F3",1000,0.2,0.5,30,0,-0.00338321101106046,0.00204411157924306,0.0453460038986355,0.0555555555555556
"MNAR","F1",100,0.5,0.5,30,0,0.00209383992515776,0.0121458429796795,0.222882553606238,0.266666666666667
"MNAR","F2",100,0.5,0.5,30,0,-0.0400313553227454,0.00768650487388386,0.29510859204793,0.358333333333333
"MNAR","F3",100,0.5,0.5,30,0,-0.0185467232342377,0.0107823278353619,0.0475,0.05
"MNAR","F1",300,0.5,0.5,30,0,0.00523230653301037,0.00307795214348434,0.201646825396825,0.25
"MNAR","F2",300,0.5,0.5,30,0,-0.0233990328117964,0.00615427044878913,0.418907417330405,0.491666666666667
"MNAR","F3",300,0.5,0.5,30,0,-0.00619513108185018,0.00672745793637294,0.0447435897435897,0.0611111111111111
"MNAR","F1",1000,0.5,0.5,30,0,0.00106905680718143,0.00131472901241227,0.0727400097465887,0.125
"MNAR","F2",1000,0.5,0.5,30,0,-0.0130079441287098,0.00275836007513082,0.449107506306616,0.533333333333333
"MNAR","F3",1000,0.5,0.5,30,0,-0.00713005097866738,0.00253476614926187,0.0566219948018194,0.0777777777777778
"MNAR","F1",100,1,0.5,30,0,0.0242018261589947,0.0106505400758751,0.19127237285132,0.258333333333333
"MNAR","F2",100,1,0.5,30,0,-0.00133066660147444,0.0141213228191592,0.2671734418116,0.358333333333333
"MNAR","F3",100,1,0.5,30,0,0.00197591701428724,0.0155236648107568,0.0460948667966212,0.0611111111111111
"MNAR","F1",300,1,0.5,30,0,0.00679064884171493,0.00485401867014084,0.186415405343424,0.241666666666667
"MNAR","F2",300,1,0.5,30,0,-0.0132835458984969,0.00487430579080073,0.320558788047178,0.408333333333333
"MNAR","F3",300,1,0.5,30,0,-0.0098497966015189,0.00835234845707775,0.0576959626630679,0.105555555555556
"MNAR","F1",1000,1,0.5,30,0,-7.49063072121858e-05,0.000519091190250795,0.137478070175439,0.216666666666667
"MNAR","F2",1000,1,0.5,30,0,-0.00747594347389858,0.00196249616156901,0.327530959752322,0.441666666666667
"MNAR","F3",1000,1,0.5,30,0,-0.00344267230313597,0.00210006435381051,0.0506772923594389,0.0888888888888889
