"job_id","cell_id","rep","family","n_species","phylo_lambda","miss_frac","seed","lambda_mode","fit_ok","fit_sec","blend_loss","baseline_loss","paired_delta","r_cal_gnn_mean","r_cal_bm_mean","r_cal_mean_mean","floor_fired","error"
83,2,2,"F3",100,0.2,0.1,10202,"fixed_1",TRUE,61.754,0.77176794102249,0.662960024216607,0.108807916805884,0.166666666666667,0.166666666666667,0.666666666666667,TRUE,NA
84,3,2,"F1",300,0.2,0.1,10302,"fixed_1",TRUE,79.786,1.06675451963163,1.06921091188324,-0.00245639225161587,0,0.5,0.5,TRUE,NA
85,4,2,"F2",300,0.2,0.1,10402,"fixed_1",TRUE,80.916,0.890220326027331,1.00051173802388,-0.11029141199655,0.8125,0.1875,0,FALSE,NA
86,5,2,"F3",300,0.2,0.1,10502,"fixed_1",TRUE,80.448,0.760811803878059,0.75459080358467,0.00622100029338857,0.168137254901961,0.25343137254902,0.57843137254902,TRUE,NA
87,6,2,"F1",1000,0.2,0.1,10602,"fixed_1",TRUE,545.06,0.912217334602576,0.912217334456147,1.46428646985441e-10,0,1,0,FALSE,NA
88,7,2,"F2",1000,0.2,0.1,10702,"fixed_1",TRUE,548.507,0.961585903016114,0.999586215482807,-0.0380003124666936,0.75,0.25,0,FALSE,NA
89,8,2,"F3",1000,0.2,0.1,10802,"fixed_1",TRUE,473.271,0.76611724735489,0.771986603079028,-0.00586935572413738,0.166666666666667,0.833333333333333,0,FALSE,NA
90,9,2,"F1",100,0.5,0.1,10902,"fixed_1",TRUE,63.418,0.771013866663072,0.765762794678405,0.00525107198466668,0.1875,0.75,0.0625,FALSE,NA
91,10,2,"F2",100,0.5,0.1,11002,"fixed_1",TRUE,60.403,0.764778906879184,0.858927438248989,-0.0941485313698053,0.5,0,0.5,TRUE,NA
92,11,2,"F3",100,0.5,0.1,11102,"fixed_1",TRUE,63.823,0.682545999025956,0.580132591916163,0.102413407109793,0.166666666666667,0.166666666666667,0.666666666666667,TRUE,NA
93,12,2,"F1",300,0.5,0.1,11202,"fixed_1",TRUE,80.619,0.894008459076121,0.919126047248745,-0.0251175881726241,0.25,0.75,0,FALSE,NA
94,13,2,"F2",300,0.5,0.1,11302,"fixed_1",TRUE,77.916,0.84269375787816,0.873259592744049,-0.0305658348658892,0.314473684210526,0.685526315789474,0,FALSE,NA
95,14,2,"F3",300,0.5,0.1,11402,"fixed_1",TRUE,79.705,0.615079474376435,0.536791270061331,0.078288204315104,0.05,0.45,0.5,TRUE,NA
96,15,2,"F1",1000,0.5,0.1,11502,"fixed_1",TRUE,498.216,0.836235335657168,0.845894777902536,-0.0096594422453683,0.375,0.625,0,FALSE,NA
97,16,2,"F2",1000,0.5,0.1,11602,"fixed_1",TRUE,494.04,0.871438959430581,0.883239680966483,-0.0118007215359019,0.4625,0.5375,0,FALSE,NA
98,17,2,"F3",1000,0.5,0.1,11702,"fixed_1",TRUE,460.995,0.689875797399104,0.710109483017808,-0.0202336856187034,0.166666666666667,0.754385964912281,0.0789473684210526,FALSE,NA
99,18,2,"F1",100,1,0.1,11802,"fixed_1",TRUE,62.971,0.577929292685686,0.582721277234643,-0.00479198454895624,0.4625,0.525,0.0125,FALSE,NA
100,19,2,"F2",100,1,0.1,11902,"fixed_1",TRUE,63.999,0.565686022167823,0.624388437074481,-0.0587024149066575,0.646052631578947,0.075,0.278947368421053,FALSE,NA
101,20,2,"F3",100,1,0.1,12002,"fixed_1",TRUE,65.566,0.645278036489496,0.544110071648934,0.101167964840563,0.141666666666667,0.525,0.333333333333333,TRUE,NA
102,21,2,"F1",300,1,0.1,12102,"fixed_1",TRUE,93.643,0.515360836029944,0.50876886776985,0.00659196826009367,0.475,0.475,0.05,FALSE,NA
103,22,2,"F2",300,1,0.1,12202,"fixed_1",TRUE,82.393,0.673088446964972,0.772845195239776,-0.0997567482748036,0.698026315789474,0.15,0.151973684210526,FALSE,NA
104,23,2,"F3",300,1,0.1,12302,"fixed_1",TRUE,83.457,0.496015724354151,0.485252992896569,0.0107627314575824,0.216666666666667,0.283333333333333,0.5,TRUE,NA
105,24,2,"F1",1000,1,0.1,12402,"fixed_1",TRUE,496.929,0.443321581650637,0.440062162369421,0.00325941928121581,0.1875,0.8125,0,FALSE,NA
106,25,2,"F2",1000,1,0.1,12502,"fixed_1",TRUE,499.25,0.528675779006157,0.548818133730389,-0.0201423547242315,0.425,0.535526315789474,0.0394736842105263,FALSE,NA
107,26,2,"F3",1000,1,0.1,12602,"fixed_1",TRUE,461.894,0.449495175121637,0.44758578605851,0.00190938906312771,0.0666666666666667,0.458333333333333,0.475,FALSE,NA
108,27,2,"F1",100,0.2,0.3,12702,"fixed_1",TRUE,63.598,0.887451979723188,0.905743357768632,-0.0182913780454438,0,0.25,0.75,TRUE,NA
109,28,2,"F2",100,0.2,0.3,12802,"fixed_1",TRUE,70.297,0.981117644415234,1.03412996821826,-0.0530123238030294,0.0375,0.2125,0.75,TRUE,NA
110,29,2,"F3",100,0.2,0.3,12902,"fixed_1",TRUE,66.598,0.607712181164743,0.583722019758699,0.0239901614060448,0,0.666666666666667,0.333333333333333,TRUE,NA
111,30,2,"F1",300,0.2,0.3,13002,"fixed_1",TRUE,76.087,1.0800439708378,1.09485169921434,-0.0148077283765438,0.5,0,0.5,TRUE,NA
112,31,2,"F2",300,0.2,0.3,13102,"fixed_1",TRUE,77.936,0.909938245865364,0.914611118459666,-0.00467287259430238,0.03125,0.75,0.21875,FALSE,NA
113,32,2,"F3",300,0.2,0.3,13202,"fixed_1",TRUE,82.271,0.798992480282841,0.790563681138913,0.00842879914392791,0,0.166666666666667,0.833333333333333,TRUE,NA
114,33,2,"F1",1000,0.2,0.3,13302,"fixed_1",TRUE,375.553,0.967867886331144,0.945250153658089,0.0226177326730544,0.1375,0.3625,0.5,TRUE,NA
